Date,Monthly Value,Accumulated Value
2015-01,5,5
2015-02,4,9
2015-03,11,20
2015-04,3,23
2015-05,1,24
2015-06,5,29
2015-07,6,35
2015-08,3,38
2015-09,4,42
2015-10,11,53
2015-11,2,55
2015-12,5,60
2016-01,12,72
2016-02,6,78
2016-03,2,80
2016-04,5,85
2016-05,2,87
2016-06,4,91
2016-07,3,94
2016-08,8,102
2016-09,3,105
2016-10,14,119
2016-11,8,127
2016-12,8,135
2017-01,12,147
2017-02,6,153
2017-03,6,159
2017-04,6,165
2017-06,1,166
2017-07,5,171
2017-08,6,177
2017-09,8,185
2017-10,14,199
2017-11,10,209
2017-12,3,212
2018-01,11,223
2018-02,8,231
2018-03,14,245
2018-04,8,253
2018-05,4,257
2018-06,10,267
2018-07,3,270
2018-08,6,276
2018-09,3,279
2018-10,3,282
2018-11,6,288
2018-12,1,289
2019-01,8,297
2019-02,6,303
2019-03,5,308
2019-04,5,313
2019-05,4,317
2019-06,6,323
2019-07,4,327
2019-08,2,329
2019-09,2,331
2019-10,1,332
2019-11,3,335
2019-12,2,337
2020-02,5,342
2020-03,2,344
2020-04,3,347
2020-05,6,353
2020-07,6,359
2020-08,1,360
2020-09,4,364
2020-12,2,366
2021-01,2,368
2021-02,1,369
2021-07,1,370
2022-04,1,371
2022-08,1,372
2024-04,1,373
