Date,Monthly Value,Accumulated Value
2019-09,7,7
2019-10,43,50
2019-11,12,62
2019-12,6,68
2020-01,14,82
2020-02,16,98
2020-03,17,115
2020-04,14,129
2020-05,9,138
2020-06,5,143
2020-07,12,155
2020-08,8,163
2020-09,16,179
2020-10,26,205
2020-11,12,217
2020-12,23,240
2021-01,14,254
2021-02,19,273
2021-03,12,285
2021-04,10,295
2021-05,13,308
2021-06,11,319
2021-07,6,325
2021-08,5,330
2021-09,11,341
2021-10,8,349
2021-11,5,354
2021-12,13,367
2022-01,4,371
2022-02,5,376
2022-03,10,386
2022-04,9,395
2022-05,7,402
2022-06,11,413
2022-07,16,429
2022-08,11,440
2022-09,12,452
2022-10,19,471
2022-11,4,475
2022-12,2,477
2023-01,5,482
2023-02,5,487
2023-03,8,495
2023-04,6,501
2023-05,1,502
2023-06,7,509
2023-07,4,513
2023-08,11,524
2023-09,12,536
2023-10,11,547
2023-11,3,550
2023-12,5,555
2024-01,5,560
2024-02,7,567
2024-03,6,573
2024-04,9,582
2024-05,14,596
2024-06,22,618
2024-07,11,629
2024-08,8,637
2024-09,5,642
2024-10,4,646
