Date,Monthly Value,Accumulated Value
2019-03,59,59
2019-04,2366,2425
2019-05,48962,51387
2019-06,16081,67468
2019-07,8545,76013
2019-08,2192,78205
2019-09,7850,86055
2019-10,117,86172
2019-11,863,87035
2019-12,148843,235878
2020-01,452337,688215
2020-02,222018,910233
2020-03,22600,932833
2020-04,74903,1007736
2020-05,14960,1022696
2020-06,7712,1030408
2020-07,96760,1127168
2020-08,317327,1444495
2020-09,36936,1481431
2020-10,88613,1570044
2020-11,105782,1675826
2020-12,2207,1678033
2021-01,42087,1720120
2021-02,225,1720345
2021-03,17990,1738335
2021-04,10236,1748571
2021-05,19438,1768009
2021-06,80303,1848312
2021-07,362721,2211033
2021-08,5718,2216751
2021-09,4099,2220850
2021-10,87,2220937
2021-11,2452,2223389
2021-12,3301,2226690
2022-01,1189,2227879
2022-02,2739,2230618
2022-03,6713,2237331
2022-04,6659,2243990
2022-05,-457,2243533
2022-06,8150,2251683
2022-07,13217,2264900
2022-08,9377,2274277
2022-09,8574,2282851
2022-10,30361,2313212
2022-11,18840,2332052
2022-12,54507,2386559
2023-01,6537,2393096
2023-02,13929,2407025
2023-03,9686,2416711
2023-04,16334,2433045
2023-05,26135,2459180
2023-06,110769,2569949
2023-07,-4616,2565333
2023-08,36423,2601756
2023-09,160842,2762598
2023-10,24504,2787102
2023-11,51616,2838718
2023-12,-2459,2836259
2024-01,2621,2838880
2024-02,4004,2842884
2024-03,5177,2848061
2024-04,18246,2866307
2024-05,6406,2872713
2024-06,1711,2874424
2024-07,14149,2888573
2024-08,7709,2896282
2024-09,5611,2901893
2024-10,5123,2907016
