Date,Monthly Value,Accumulated Value
2019-09,3,3
2019-10,5,8
2019-11,6,14
2019-12,6,20
2020-01,8,28
2020-02,9,37
2020-03,10,47
2020-04,10,57
2020-05,10,67
2020-06,10,77
2020-07,12,89
2020-08,13,102
2020-09,14,116
2020-10,17,133
2020-11,17,150
2020-12,18,168
2021-01,21,189
2021-02,22,211
2021-03,23,234
2021-04,28,262
2021-05,29,291
2021-06,33,324
2021-07,34,358
2021-08,38,396
2021-09,40,436
2021-10,40,476
2021-11,41,517
2021-12,42,559
2022-01,44,603
2022-02,49,652
2022-03,49,701
2022-04,48,749
2022-05,49,798
2022-06,49,847
2022-07,54,901
2022-08,56,957
2022-09,61,1018
2022-10,65,1083
2022-11,70,1153
2022-12,72,1225
2023-01,71,1296
2023-02,72,1368
2023-03,75,1443
2023-04,79,1522
2023-05,79,1601
2023-06,81,1682
2023-07,84,1766
2023-08,86,1852
2023-09,90,1942
2023-10,92,2034
2023-11,98,2132
2023-12,100,2232
2024-01,101,2333
2024-02,102,2435
2024-03,106,2541
2024-04,111,2652
2024-05,112,2764
2024-06,116,2880
2024-07,118,2998
2024-08,120,3118
2024-09,121,3239
2024-10,124,3363
