Date,Monthly Value,Accumulated Value
2015-01,15,15
2015-02,12,27
2015-03,25,52
2015-04,29,81
2015-05,42,123
2015-06,32,155
2015-07,36,191
2015-08,45,236
2015-09,50,286
2015-10,57,343
2015-11,77,420
2015-12,72,492
2016-01,105,597
2016-02,66,663
2016-03,126,789
2016-04,116,905
2016-05,158,1063
2016-06,136,1199
2016-07,138,1337
2016-08,159,1496
2016-09,173,1669
2016-10,142,1811
2016-11,199,2010
2016-12,243,2253
2017-01,209,2462
2017-02,211,2673
2017-03,304,2977
2017-04,304,3281
2017-05,389,3670
2017-06,389,4059
2017-07,383,4442
2017-08,419,4861
2017-09,373,5234
2017-10,265,5499
2017-11,349,5848
2017-12,308,6156
2018-01,395,6551
2018-02,205,6756
2018-03,422,7178
2018-04,452,7630
2018-05,386,8016
2018-06,374,8390
2018-07,378,8768
2018-08,371,9139
2018-09,325,9464
2018-10,317,9781
2018-11,353,10134
2018-12,319,10453
2019-01,306,10759
2019-02,216,10975
2019-03,369,11344
2019-04,488,11832
2019-05,517,12349
2019-06,351,12700
2019-07,437,13137
2019-08,381,13518
2019-09,293,13811
2019-10,283,14094
2019-11,355,14449
2019-12,316,14765
2020-01,197,14962
2020-02,159,15121
2020-03,282,15403
2020-04,273,15676
2020-05,265,15941
2020-06,241,16182
2020-07,248,16430
2020-08,169,16599
2020-09,161,16760
2020-10,149,16909
2020-11,214,17123
2020-12,176,17299
2021-01,149,17448
2021-02,145,17593
2021-03,157,17750
2021-04,168,17918
2021-05,142,18060
2021-06,136,18196
2021-07,136,18332
2021-08,125,18457
2021-09,154,18611
2021-10,134,18745
2021-11,109,18854
2021-12,155,19009
2022-01,108,19117
2022-02,82,19199
2022-03,117,19316
2022-04,128,19444
2022-05,86,19530
2022-06,105,19635
2022-07,100,19735
2022-08,76,19811
2022-09,86,19897
2022-10,80,19977
2022-11,86,20063
2022-12,56,20119
2023-01,50,20169
2023-02,77,20246
2023-03,109,20355
2023-04,90,20445
2023-05,62,20507
2023-06,84,20591
2023-07,47,20638
2023-08,59,20697
2023-09,53,20750
2023-10,52,20802
2023-11,74,20876
2023-12,57,20933
2024-01,83,21016
2024-02,37,21053
2024-03,56,21109
2024-04,45,21154
2024-05,31,21185
2024-06,47,21232
2024-07,49,21281
2024-08,45,21326
2024-09,39,21365
2024-10,26,21391
