Date,Monthly Value,Accumulated Value
2015-01,369,369
2015-02,816,1185
2015-03,413,1598
2015-04,-30,1568
2015-05,930,2498
2015-06,161,2659
2015-07,4226,6885
2015-08,711,7596
2015-09,3283,10879
2015-10,2718,13597
2015-11,1022,14619
2015-12,1668,16287
2016-01,3476,19763
2016-02,2166,21929
2016-03,1361,23290
2016-04,1998,25288
2016-05,1916,27204
2016-06,1164,28368
2016-07,675,29043
2016-08,389,29432
2016-09,1170,30602
2016-10,687,31289
2016-11,-369,30920
2016-12,1262,32182
2017-01,966,33148
2017-02,1896,35044
2017-03,1024,36068
2017-04,1970,38038
2017-05,428,38466
2017-06,7,38473
2017-07,45,38518
2017-08,400,38918
2017-09,390,39308
2017-10,270,39578
2017-11,1421,40999
2017-12,262,41261
2018-01,200,41461
2018-02,1011,42472
2018-03,63,42535
2018-04,199,42734
2018-05,6,42740
2018-06,38,42778
2018-07,31,42809
2018-08,503,43312
2018-09,372,43684
2018-10,706,44390
2018-11,-4,44386
2018-12,-1,44385
2019-02,27,44412
2019-03,1843,46255
2019-05,49,46304
2019-06,113,46417
2019-08,481,46898
2019-09,158,47056
2019-11,11,47067
2019-12,83,47150
2020-04,-2,47148
2020-05,1210,48358
2020-06,213,48571
2020-07,580,49151
2020-08,170,49321
2020-09,380,49701
2020-10,58,49759
2020-11,34,49793
2020-12,24,49817
2021-03,89,49906
2021-04,1041,50947
2021-05,2581,53528
2021-08,19,53547
2021-12,21,53568
2022-01,1,53569
2022-06,267,53836
2022-07,-746,53090
2022-11,30,53120
2023-01,106,53226
2023-06,53,53279
2023-07,340,53619
2023-10,12,53631
