Date,Monthly Value,Accumulated Value
2015-02,2,2
2015-04,1,3
2015-05,3,6
2015-06,2,8
2015-07,2,10
2015-08,3,13
2015-09,1,14
2015-10,4,18
2015-11,1,19
2015-12,2,21
2016-01,2,23
2016-02,4,27
2016-03,5,32
2016-04,4,36
2016-05,3,39
2016-06,2,41
2016-07,5,46
2016-08,2,48
2016-09,4,52
2016-10,3,55
2016-11,4,59
2016-12,6,65
2017-01,4,69
2017-02,2,71
2017-03,12,83
2017-04,6,89
2017-05,4,93
2017-06,4,97
2017-07,2,99
2017-08,7,106
2017-09,7,113
2017-10,11,124
2017-11,7,131
2017-12,3,134
2018-01,5,139
2018-02,6,145
2018-03,7,152
2018-04,4,156
2018-05,6,162
2018-06,4,166
2018-07,6,172
2018-08,6,178
2018-09,1,179
2018-10,3,182
2018-11,10,192
2018-12,8,200
2019-01,10,210
2019-02,5,215
2019-03,13,228
2019-04,15,243
2019-05,17,260
2019-06,9,269
2019-07,7,276
2019-08,6,282
2019-09,10,292
2019-10,9,301
2019-11,14,315
2019-12,8,323
2020-01,13,336
2020-02,10,346
2020-03,11,357
2020-04,8,365
2020-05,21,386
2020-06,8,394
2020-07,11,405
2020-08,12,417
2020-09,10,427
2020-10,9,436
2020-11,12,448
2020-12,14,462
2021-01,15,477
2021-02,12,489
2021-03,14,503
2021-04,14,517
2021-05,13,530
2021-06,17,547
2021-07,9,556
2021-08,9,565
2021-09,19,584
2021-10,19,603
2021-11,26,629
2021-12,15,644
2022-01,24,668
2022-02,17,685
2022-03,25,710
2022-04,9,719
2022-05,19,738
2022-06,12,750
2022-07,25,775
2022-08,19,794
2022-09,20,814
2022-10,16,830
2022-11,21,851
2022-12,17,868
2023-01,13,881
2023-02,11,892
2023-03,15,907
2023-04,17,924
2023-05,22,946
2023-06,12,958
2023-07,10,968
2023-08,8,976
2023-09,13,989
2023-10,11,1000
2023-11,7,1007
2023-12,7,1014
2024-01,6,1020
2024-02,13,1033
2024-03,17,1050
2024-04,15,1065
2024-05,16,1081
2024-06,15,1096
2024-07,20,1116
2024-08,12,1128
2024-09,15,1143
2024-10,19,1162
