Date,Monthly Value,Accumulated Value
2015-01,37,37
2015-02,145,182
2015-03,110,292
2015-04,145,437
2015-05,139,576
2015-06,109,685
2015-07,76,761
2015-08,133,894
2015-09,71,965
2015-10,81,1046
2015-11,50,1096
2015-12,69,1165
2016-01,40,1205
2016-02,191,1396
2016-03,83,1479
2016-04,106,1585
2016-05,47,1632
2016-06,69,1701
2016-07,88,1789
2016-08,224,2013
2016-09,245,2258
2016-10,78,2336
2016-11,54,2390
2016-12,66,2456
2017-01,94,2550
2017-02,99,2649
2017-03,290,2939
2017-04,167,3106
2017-05,82,3188
2017-06,158,3346
2017-07,131,3477
2017-08,82,3559
2017-09,62,3621
2017-10,135,3756
2017-11,168,3924
2017-12,92,4016
2018-01,106,4122
2018-02,115,4237
2018-03,153,4390
2018-04,123,4513
2018-05,120,4633
2018-06,72,4705
2018-07,85,4790
2018-08,85,4875
2018-09,100,4975
2018-10,191,5166
2018-11,204,5370
2018-12,37,5407
2019-01,111,5518
2019-02,34,5552
2019-03,35,5587
2019-04,20,5607
2019-05,91,5698
2019-06,35,5733
2019-07,75,5808
2019-08,72,5880
2019-09,126,6006
2019-10,67,6073
2019-11,41,6114
2019-12,9,6123
2020-01,31,6154
2020-02,23,6177
2020-03,22,6199
2020-04,49,6248
2020-05,83,6331
2020-06,8,6339
2020-07,14,6353
2020-09,1,6354
2020-10,22,6376
2020-11,30,6406
2020-12,14,6420
2021-01,30,6450
2021-02,59,6509
2021-03,69,6578
2021-04,40,6618
2021-05,15,6633
2021-06,8,6641
2021-07,4,6645
2021-08,34,6679
2021-09,2,6681
2021-11,5,6686
2021-12,22,6708
2022-01,22,6730
2022-02,20,6750
2022-03,10,6760
2022-04,25,6785
2022-05,17,6802
2022-06,12,6814
2022-07,1,6815
2022-08,1,6816
2022-09,11,6827
2022-10,26,6853
2022-11,36,6889
2022-12,6,6895
2023-01,55,6950
2023-02,51,7001
2023-03,34,7035
2023-04,7,7042
2023-05,7,7049
2023-06,2,7051
2023-07,1,7052
2023-08,12,7064
2023-09,2,7066
2023-10,18,7084
2023-11,7,7091
2023-12,9,7100
2024-01,2,7102
2024-02,3,7105
2024-03,8,7113
2024-04,4,7117
2024-05,3,7120
2024-06,11,7131
2024-07,4,7135
2024-10,8,7143
