Date,Monthly Value,Accumulated Value
2015-04,1,1
2015-05,2,3
2015-06,2,5
2015-07,1,6
2015-10,1,7
2015-12,1,8
2016-03,1,9
2016-04,1,10
2017-06,2,12
2017-08,1,13
2017-10,4,17
2017-11,15,32
2017-12,5,37
2018-01,4,41
2018-03,5,46
2018-05,2,48
2018-08,2,50
2018-09,2,52
2018-10,6,58
2019-01,2,60
2019-02,3,63
2019-03,2,65
2019-04,2,67
2019-05,4,71
2019-06,2,73
2019-07,1,74
2019-08,9,83
2019-09,2,85
2019-10,7,92
2019-12,3,95
2020-01,3,98
2020-02,7,105
2020-04,5,110
2021-11,5,115
2021-12,2,117
2022-01,2,119
2022-04,3,122
2022-05,4,126
2022-07,3,129
2022-09,1,130
2022-10,2,132
2022-11,2,134
2022-12,4,138
2023-01,8,146
2023-02,3,149
2023-03,3,152
2023-05,1,153
2023-06,1,154
2023-07,1,155
2023-10,9,164
2023-11,7,171
2023-12,2,173
