Date,Monthly Value,Accumulated Value
2016-07,1,1
2016-09,1,2
2016-11,1,3
2016-12,1,4
2017-01,3,7
2017-05,1,8
2017-06,3,11
2017-11,2,13
2018-03,1,14
2018-09,6,20
2018-10,3,23
2018-12,1,24
2019-01,1,25
2019-03,4,29
2019-06,2,31
2019-08,1,32
2019-10,2,34
2020-01,1,35
2020-04,1,36
2020-06,3,39
2020-07,1,40
2020-11,1,41
2021-09,1,42
2021-12,3,45
2022-01,1,46
2022-04,14,60
2022-05,3,63
2022-06,3,66
2022-07,3,69
2022-08,4,73
2022-09,3,76
2022-11,7,83
2022-12,10,93
2023-01,12,105
2023-02,3,108
2023-03,13,121
2023-04,13,134
2023-05,11,145
2023-06,9,154
2023-07,2,156
2023-08,2,158
2023-09,7,165
2023-10,11,176
2023-11,14,190
2023-12,13,203
2024-01,17,220
2024-02,8,228
2024-03,12,240
2024-04,10,250
2024-05,9,259
2024-06,16,275
2024-07,11,286
2024-08,19,305
2024-09,15,320
2024-10,15,335
