Date,Monthly Value,Accumulated Value
2016-11,2,2
2016-12,1,3
2017-01,3,6
2017-02,9,15
2017-04,5,20
2017-05,4,24
2017-06,10,34
2017-07,16,50
2017-08,6,56
2017-09,7,63
2017-10,16,79
2017-11,13,92
2017-12,7,99
2018-01,11,110
2018-02,14,124
2018-03,3,127
2018-04,11,138
2018-05,7,145
2018-06,4,149
2018-07,8,157
2018-08,7,164
2018-09,10,174
2018-10,18,192
2018-11,20,212
2018-12,9,221
2019-01,11,232
2019-02,10,242
2019-03,53,295
2019-04,18,313
2019-05,15,328
2019-06,8,336
2019-07,8,344
2019-08,11,355
2019-09,16,371
2019-10,8,379
2019-11,15,394
2019-12,7,401
2020-01,20,421
2020-02,13,434
2020-03,19,453
2020-04,20,473
2020-05,28,501
2020-06,26,527
2020-07,26,553
2020-08,39,592
2020-09,13,605
2020-10,23,628
2020-11,20,648
2020-12,24,672
2021-01,24,696
2021-02,22,718
2021-03,26,744
2021-04,30,774
2021-05,22,796
2021-06,31,827
2021-07,35,862
2021-08,13,875
2021-09,27,902
2021-10,25,927
2021-11,25,952
2021-12,34,986
2022-01,39,1025
2022-02,40,1065
2022-03,54,1119
2022-04,27,1146
2022-05,64,1210
2022-06,61,1271
2022-07,44,1315
2022-08,34,1349
2022-09,49,1398
2022-10,25,1423
2022-11,25,1448
2022-12,24,1472
2023-01,38,1510
2023-02,25,1535
2023-03,33,1568
2023-04,22,1590
2023-05,16,1606
2023-06,16,1622
2023-07,11,1633
2023-08,14,1647
2023-09,12,1659
2023-10,21,1680
2023-11,20,1700
2023-12,14,1714
2024-01,26,1740
2024-02,21,1761
2024-03,33,1794
2024-04,72,1866
2024-05,35,1901
2024-06,44,1945
2024-07,34,1979
2024-08,29,2008
2024-09,28,2036
2024-10,30,2066
