Date,Monthly Value,Accumulated Value
2015-01,88,88
2015-02,69,157
2015-03,94,251
2015-04,120,371
2015-05,166,537
2015-06,97,634
2015-07,129,763
2015-08,162,925
2015-09,70,995
2015-10,178,1173
2015-11,129,1302
2015-12,83,1385
2016-01,103,1488
2016-02,146,1634
2016-03,92,1726
2016-04,112,1838
2016-05,92,1930
2016-06,176,2106
2016-07,125,2231
2016-08,134,2365
2016-09,133,2498
2016-10,64,2562
2016-11,167,2729
2016-12,112,2841
2017-01,168,3009
2017-02,147,3156
2017-03,122,3278
2017-04,149,3427
2017-05,122,3549
2017-06,135,3684
2017-07,98,3782
2017-08,170,3952
2017-09,155,4107
2017-10,124,4231
2017-11,428,4659
2017-12,61,4720
2018-01,128,4848
2018-02,82,4930
2018-03,117,5047
2018-04,119,5166
2018-05,150,5316
2018-06,122,5438
2018-07,134,5572
2018-08,174,5746
2018-09,135,5881
2018-10,129,6010
2018-11,135,6145
2018-12,83,6228
2019-01,401,6629
2019-02,223,6852
2019-03,183,7035
2019-04,166,7201
2019-05,199,7400
2019-06,149,7549
2019-07,170,7719
2019-08,202,7921
2019-09,245,8166
2019-10,192,8358
2019-11,137,8495
2019-12,104,8599
2020-01,130,8729
2020-02,126,8855
2020-03,98,8953
2020-04,777,9730
2020-05,126,9856
2020-06,125,9981
2020-07,170,10151
2020-08,117,10268
2020-09,176,10444
2020-10,154,10598
2020-11,67,10665
2020-12,91,10756
2021-01,118,10874
2021-02,100,10974
2021-03,201,11175
2021-04,115,11290
2021-05,137,11427
2021-06,103,11530
2021-07,118,11648
2021-08,101,11749
2021-09,73,11822
2021-10,96,11918
2021-11,101,12019
2021-12,135,12154
2022-01,119,12273
2022-02,52,12325
2022-03,127,12452
2022-04,118,12570
2022-05,68,12638
2022-06,102,12740
2022-07,64,12804
2022-08,74,12878
2022-09,54,12932
2022-10,41,12973
2022-11,42,13015
2022-12,31,13046
2023-01,85,13131
2023-02,55,13186
2023-03,51,13237
2023-04,68,13305
2023-05,64,13369
2023-06,35,13404
2023-07,32,13436
2023-08,49,13485
2023-09,122,13607
2023-10,66,13673
2023-11,43,13716
2023-12,42,13758
2024-01,70,13828
2024-02,81,13909
2024-03,45,13954
2024-04,37,13991
2024-05,50,14041
2024-06,46,14087
2024-07,30,14117
2024-08,63,14180
2024-09,41,14221
2024-10,55,14276
