Date,Monthly Value,Accumulated Value
2015-01,34,34
2015-02,1257,1291
2015-03,784,2075
2015-04,14772,16847
2015-05,29722,46569
2015-06,14091,60660
2015-07,483,61143
2015-08,569,61712
2015-09,607,62319
2015-10,1032,63351
2015-11,3119,66470
2015-12,716,67186
2016-01,2893,70079
2016-02,2292,72371
2016-03,2086,74457
2016-04,1269,75726
2016-05,8279,84005
2016-06,2908,86913
2016-07,379,87292
2016-08,516,87808
2016-09,1971,89779
2016-10,1567,91346
2016-11,1958,93304
2016-12,1152,94456
2017-01,2292,96748
2017-02,1476,98224
2017-03,2888,101112
2017-04,1471,102583
2017-05,453,103036
2017-06,1505,104541
2017-07,461,105002
2017-08,453,105455
2017-09,825,106280
2017-10,883,107163
2017-11,745,107908
2017-12,343,108251
2018-01,384,108635
2018-02,521,109156
2018-03,124,109280
2018-04,39,109319
2018-05,1614,110933
2018-06,426,111359
2018-07,377,111736
2018-08,7,111743
2018-09,511,112254
2018-10,103675,215929
2018-11,8955,224884
2018-12,2412,227296
2019-01,5608,232904
2019-02,3221,236125
2019-03,6616,242741
2019-04,2478,245219
2019-05,2090,247309
2019-06,1618,248927
2019-07,214,249141
2019-08,343,249484
2019-09,1184,250668
2019-10,368,251036
2019-11,11434,262470
2019-12,59,262529
2020-01,544,263073
2020-02,11737,274810
2020-03,978,275788
2020-04,229,276017
2020-05,168,276185
2020-06,357,276542
2020-07,238,276780
2020-08,170,276950
2020-09,438,277388
2020-10,44,277432
2020-12,77,277509
2021-01,97,277606
2021-02,209,277815
2021-03,519,278334
2021-04,2598,280932
2021-05,6,280938
2021-06,7,280945
2021-07,2,280947
2021-08,684,281631
2021-09,64,281695
2021-11,1946,283641
2021-12,17,283658
2022-01,10,283668
2022-02,44,283712
2022-03,2201,285913
2022-04,203,286116
2022-05,5,286121
2022-06,283,286404
2022-07,7,286411
2022-09,160,286571
2022-10,118,286689
2022-11,59,286748
2022-12,227,286975
2023-01,275,287250
2023-02,102,287352
2023-03,1057,288409
2023-06,92,288501
2023-07,7,288508
2023-08,272,288780
2023-09,7,288787
2023-10,28,288815
2023-11,4,288819
2023-12,291,289110
2024-01,198,289308
2024-02,1091,290399
2024-03,4,290403
2024-05,11,290414
2024-06,19,290433
2024-07,5,290438
2024-08,993,291431
2024-09,1206,292637
2024-10,76,292713
