Date,Monthly Value,Accumulated Value
2015-01,15,15
2015-02,10,25
2015-03,7,32
2015-04,7,39
2015-05,7,46
2015-06,11,57
2015-07,3,60
2015-08,5,65
2015-09,4,69
2015-10,8,77
2015-11,7,84
2015-12,3,87
2016-01,4,91
2016-02,2,93
2016-03,8,101
2016-04,5,106
2016-05,13,119
2016-06,1,120
2016-07,6,126
2016-08,3,129
2016-09,2,131
2016-10,3,134
2016-11,4,138
2016-12,6,144
2017-01,3,147
2017-02,8,155
2017-03,7,162
2017-05,3,165
2017-06,5,170
2017-07,4,174
2017-08,1,175
2017-09,6,181
2017-10,5,186
2017-11,2,188
2017-12,2,190
2018-01,2,192
2018-02,7,199
2018-03,4,203
2018-04,6,209
2018-05,4,213
2018-06,12,225
2018-07,5,230
2018-08,8,238
2018-09,3,241
2018-10,6,247
2018-11,7,254
2018-12,11,265
2019-01,5,270
2019-02,5,275
2019-03,2,277
2019-04,1,278
2019-05,4,282
2019-06,6,288
2019-07,3,291
2019-09,5,296
2019-11,3,299
2019-12,5,304
2020-01,3,307
2020-02,2,309
2020-03,1,310
2020-04,4,314
2020-05,3,317
2020-06,4,321
2020-07,7,328
2020-09,3,331
2020-10,7,338
2020-11,3,341
2020-12,3,344
2021-01,7,351
2021-02,3,354
2021-03,3,357
2021-04,5,362
2021-05,2,364
2021-06,2,366
2021-07,1,367
2021-09,4,371
2021-11,1,372
2021-12,1,373
2022-02,2,375
2022-03,1,376
2022-04,4,380
2022-07,3,383
2022-08,4,387
2022-09,2,389
2022-10,1,390
2022-11,1,391
2022-12,1,392
2023-01,2,394
2023-02,1,395
2023-03,3,398
2023-07,1,399
2023-08,1,400
2023-09,2,402
2023-11,3,405
2023-12,1,406
2024-01,3,409
2024-06,1,410
2024-08,3,413
2024-09,2,415
2024-10,2,417
