Date,Monthly Value,Accumulated Value
2015-01,3,3
2015-02,5,8
2015-03,2,10
2015-04,3,13
2015-05,4,17
2015-06,10,27
2015-07,9,36
2015-08,12,48
2015-09,2,50
2015-10,3,53
2015-11,5,58
2015-12,8,66
2016-01,1,67
2016-03,9,76
2016-05,4,80
2016-06,3,83
2016-07,1,84
2016-11,2,86
2016-12,2,88
2017-01,4,92
2017-02,3,95
2017-03,4,99
2017-04,4,103
2017-05,2,105
2017-06,4,109
2017-09,6,115
2017-10,1,116
2017-11,3,119
2017-12,6,125
2018-01,3,128
2018-03,4,132
2018-05,3,135
2018-07,2,137
2018-10,1,138
2018-11,1,139
2019-01,2,141
2019-02,3,144
2019-03,1,145
2019-05,2,147
2019-07,2,149
2019-08,1,150
2019-09,2,152
2020-01,2,154
2020-02,1,155
2020-04,3,158
2020-10,2,160
2020-12,1,161
2021-01,2,163
2021-04,1,164
2021-05,1,165
2021-06,2,167
2021-10,0,167
2022-02,2,169
2022-04,2,171
2022-05,2,173
2022-08,2,175
2022-10,2,177
2022-12,1,178
2023-02,3,181
2023-05,1,182
2023-08,2,184
2023-09,2,186
2024-01,1,187
2024-02,2,189
2024-04,1,190
2024-10,1,191
