Date,Monthly Value,Accumulated Value
2015-01,71,71
2015-04,52,123
2015-05,229,352
2015-06,38,390
2015-09,104,494
2015-10,12,506
2016-02,272,778
2016-03,1,779
2016-04,16,795
2016-08,146,941
2016-09,4,945
2016-11,29,974
2016-12,110,1084
2017-01,138,1222
2017-03,12,1234
2017-04,22,1256
2017-06,9,1265
2017-07,39,1304
2017-09,49,1353
2017-10,298,1651
2017-11,131,1782
2018-01,87,1869
2018-02,38,1907
2018-03,1087,2994
2018-04,7,3001
2018-05,2,3003
2018-06,77,3080
2018-07,193,3273
2018-08,58,3331
2018-10,260,3591
2018-11,689,4280
2018-12,1,4281
2019-04,190,4471
2019-05,9,4480
2019-06,2,4482
2019-07,5274,9756
2019-08,271,10027
2019-11,16,10043
2020-01,13,10056
2020-02,270,10326
2020-05,65,10391
2020-09,24,10415
2020-11,104,10519
2021-07,12,10531
2021-08,3,10534
2021-12,243,10777
2022-04,20,10797
2022-06,6182,16979
2022-09,2,16981
2024-01,32,17013
