Date,Monthly Value,Accumulated Value
2015-08,10,10
2015-09,17,27
2015-10,18,45
2015-11,18,63
2015-12,19,82
2016-01,19,101
2016-02,19,120
2016-03,19,139
2016-04,19,158
2016-05,19,177
2016-06,19,196
2016-07,19,215
2016-08,19,234
2016-09,18,252
2016-10,18,270
2016-11,18,288
2016-12,18,306
2017-01,19,325
2017-02,19,344
2017-03,20,364
2017-04,20,384
2017-05,21,405
2017-06,21,426
2017-07,21,447
2017-08,21,468
2017-09,21,489
2017-10,21,510
2017-11,21,531
2017-12,21,552
2018-01,21,573
2018-02,21,594
2018-03,21,615
2018-04,21,636
2018-05,21,657
2018-06,21,678
2018-07,21,699
2018-08,21,720
2018-09,21,741
2018-10,21,762
2018-11,21,783
2018-12,21,804
2019-01,21,825
2019-02,21,846
2019-03,21,867
2019-04,21,888
2019-05,21,909
2019-06,21,930
2019-07,21,951
2019-08,21,972
2019-09,21,993
2019-10,21,1014
2019-11,21,1035
2019-12,21,1056
2020-01,21,1077
2020-02,21,1098
2020-03,21,1119
2020-04,21,1140
2020-05,21,1161
2020-06,21,1182
2020-07,21,1203
2020-08,21,1224
2020-09,21,1245
2020-10,21,1266
2020-11,21,1287
2020-12,21,1308
2021-01,21,1329
2021-02,21,1350
2021-03,21,1371
2021-04,21,1392
2021-05,21,1413
2021-06,21,1434
2021-07,21,1455
2021-08,21,1476
2021-09,21,1497
2021-10,21,1518
2021-11,21,1539
2021-12,21,1560
2022-01,21,1581
2022-02,21,1602
2022-03,21,1623
2022-04,21,1644
2022-05,21,1665
2022-06,21,1686
2022-07,21,1707
2022-08,21,1728
2022-09,21,1749
2022-10,21,1770
2022-11,21,1791
2022-12,21,1812
2023-01,21,1833
2023-02,21,1854
2023-03,21,1875
2023-04,21,1896
2023-05,21,1917
2023-06,21,1938
2023-07,21,1959
2023-08,21,1980
2023-09,21,2001
2023-10,21,2022
2023-11,21,2043
2023-12,21,2064
2024-01,21,2085
2024-02,21,2106
2024-03,21,2127
2024-04,21,2148
2024-05,21,2169
2024-06,21,2190
2024-07,21,2211
2024-08,21,2232
2024-09,21,2253
2024-10,21,2274
