Date,Monthly Value,Accumulated Value
2015-08,1,1
2015-09,1,2
2016-03,1,3
2016-06,1,4
2016-11,2,6
2017-02,1,7
2017-05,1,8
2017-06,1,9
2017-07,1,10
2017-08,1,11
2018-02,1,12
2018-10,1,13
2018-11,1,14
2018-12,3,17
2019-01,1,18
2019-02,1,19
2019-03,31,50
2019-06,2,52
2019-07,1,53
2019-09,1,54
2020-02,1,55
2020-03,1,56
2020-04,2,58
2020-07,1,59
2020-08,11,70
2020-11,5,75
2020-12,1,76
2021-07,3,79
2021-09,1,80
2021-11,2,82
2021-12,1,83
2022-05,1,84
2022-08,2,86
2022-09,1,87
2022-10,1,88
2023-09,1,89
2024-03,2,91
2024-06,1,92
2024-07,38,130
2024-08,26,156
2024-09,9,165
2024-10,11,176
