Date,Monthly Value,Accumulated Value
2017-05,80,80
2017-06,371,451
2017-07,199,650
2017-08,19706,20356
2017-09,352,20708
2017-10,2,20710
2017-11,811,21521
2017-12,2905,24426
2018-01,2424,26850
2018-02,1241,28091
2018-03,5823,33914
2018-04,3574,37488
2018-05,645,38133
2018-06,18879,57012
2018-07,3104,60116
2018-08,4894,65010
2018-09,403,65413
2018-10,2654,68067
2018-11,1979,70046
2018-12,840,70886
2019-01,606,71492
2019-02,18581,90073
2019-03,8314,98387
2019-04,1397,99784
2019-05,597,100381
2019-06,2424,102805
2019-07,8596,111401
2019-08,391,111792
2019-09,1523,113315
2019-10,828,114143
2019-11,10641,124784
2019-12,3810,128594
2020-01,1919,130513
2020-02,3273,133786
2020-03,1034,134820
2020-04,388,135208
2020-05,1523,136731
2020-06,1121,137852
2020-07,1478,139330
2020-08,253,139583
2020-09,2523,142106
2020-10,1870,143976
2020-11,444,144420
2020-12,1229,145649
2021-01,1132,146781
2021-02,1322,148103
2021-03,1836,149939
2021-04,421,150360
2021-05,1202,151562
2021-06,1063,152625
2021-07,1299,153924
2021-08,2,153926
2021-09,1950,155876
2021-10,912,156788
2021-11,902,157690
2021-12,610,158300
2022-01,261,158561
2022-02,1069,159630
2022-03,461,160091
2022-04,374,160465
2022-05,344,160809
2022-06,1385,162194
2022-07,867,163061
2022-08,3546,166607
2022-09,465,167072
2022-10,6026,173098
2022-11,1521,174619
2022-12,111,174730
2023-01,922,175652
2023-02,338,175990
2023-03,8302,184292
2023-04,1756,186048
2023-05,61009,247057
2023-06,146,247203
2023-07,11969,259172
2023-08,825,259997
2023-09,8641,268638
2023-10,1219,269857
2023-11,1342,271199
2023-12,1994,273193
2024-01,150,273343
2024-02,165,273508
2024-03,2055,275563
2024-04,1608,277171
2024-05,174,277345
2024-06,96,277441
2024-07,825,278266
2024-08,10,278276
2024-09,1175,279451
2024-10,231,279682
