Date,Monthly Value,Accumulated Value
2015-01,113,113
2015-02,111,224
2015-03,109,333
2015-04,82,415
2015-05,144,559
2015-06,216,775
2015-07,184,959
2015-08,181,1140
2015-09,142,1282
2015-10,308,1590
2015-11,169,1759
2015-12,169,1928
2016-01,161,2089
2016-02,181,2270
2016-03,171,2441
2016-04,260,2701
2016-05,193,2894
2016-06,187,3081
2016-07,226,3307
2016-08,183,3490
2016-09,221,3711
2016-10,147,3858
2016-11,240,4098
2016-12,203,4301
2017-01,362,4663
2017-02,252,4915
2017-03,268,5183
2017-04,248,5431
2017-05,307,5738
2017-06,235,5973
2017-07,236,6209
2017-08,174,6383
2017-09,337,6720
2017-10,318,7038
2017-11,312,7350
2017-12,160,7510
2018-01,368,7878
2018-02,371,8249
2018-03,399,8648
2018-04,221,8869
2018-05,226,9095
2018-06,245,9340
2018-07,279,9619
2018-08,232,9851
2018-09,278,10129
2018-10,337,10466
2018-11,241,10707
2018-12,132,10839
2019-01,160,10999
2019-02,203,11202
2019-03,217,11419
2019-04,251,11670
2019-05,272,11942
2019-06,306,12248
2019-07,294,12542
2019-08,274,12816
2019-09,295,13111
2019-10,279,13390
2019-11,314,13704
2019-12,268,13972
2020-01,392,14364
2020-02,299,14663
2020-03,311,14974
2020-04,456,15430
2020-05,284,15714
2020-06,445,16159
2020-07,446,16605
2020-08,384,16989
2020-09,366,17355
2020-10,430,17785
2020-11,256,18041
2020-12,304,18345
2021-01,384,18729
2021-02,345,19074
2021-03,348,19422
2021-04,421,19843
2021-05,353,20196
2021-06,377,20573
2021-07,391,20964
2021-08,251,21215
2021-09,260,21475
2021-10,264,21739
2021-11,276,22015
2021-12,260,22275
2022-01,367,22642
2022-02,329,22971
2022-03,406,23377
2022-04,279,23656
2022-05,314,23970
2022-06,245,24215
2022-07,288,24503
2022-08,269,24772
2022-09,308,25080
2022-10,318,25398
2022-11,459,25857
2022-12,167,26024
2023-01,328,26352
2023-02,339,26691
2023-03,300,26991
2023-04,277,27268
2023-05,382,27650
2023-06,380,28030
2023-07,407,28437
2023-08,462,28899
2023-09,403,29302
2023-10,473,29775
2023-11,380,30155
2023-12,244,30399
2024-01,360,30759
2024-02,353,31112
2024-03,226,31338
2024-04,378,31716
2024-05,318,32034
2024-06,275,32309
2024-07,323,32632
2024-08,355,32987
2024-09,336,33323
2024-10,394,33717
