Date,Monthly Value,Accumulated Value
2017-05,15,15
2017-06,4,19
2017-08,2,21
2017-09,1,22
2017-11,1,23
2018-10,9,32
2018-11,2,34
2019-03,1,35
2019-04,1,36
2019-08,2,38
2019-10,1,39
2019-12,2,41
2020-09,2,43
2020-10,6,49
2022-06,4,53
2022-08,2,55
2022-09,2,57
2022-10,6,63
2022-11,1,64
2023-01,4,68
2023-02,6,74
2023-03,4,78
2023-04,1,79
2023-05,5,84
2023-06,2,86
2023-07,2,88
2023-08,2,90
2023-09,14,104
2023-10,2,106
2023-11,14,120
2023-12,4,124
2024-02,2,126
2024-03,10,136
2024-04,11,147
2024-05,8,155
2024-06,1,156
2024-07,45,201
2024-09,17,218
