Date,Monthly Value,Accumulated Value
2015-01,13,13
2015-02,19,32
2015-03,15,47
2015-04,20,67
2015-05,27,94
2015-06,19,113
2015-07,21,134
2015-08,16,150
2015-09,12,162
2015-10,27,189
2015-11,21,210
2015-12,17,227
2016-01,14,241
2016-02,25,266
2016-03,39,305
2016-04,25,330
2016-05,23,353
2016-06,23,376
2016-07,33,409
2016-08,24,433
2016-09,38,471
2016-10,37,508
2016-11,24,532
2016-12,31,563
2017-01,27,590
2017-02,33,623
2017-03,28,651
2017-04,39,690
2017-05,33,723
2017-06,25,748
2017-07,21,769
2017-08,25,794
2017-09,32,826
2017-10,35,861
2017-11,29,890
2017-12,26,916
2018-01,20,936
2018-02,53,989
2018-03,60,1049
2018-04,41,1090
2018-05,26,1116
2018-06,21,1137
2018-07,38,1175
2018-08,33,1208
2018-09,20,1228
2018-10,31,1259
2018-11,26,1285
2018-12,26,1311
2019-01,30,1341
2019-02,38,1379
2019-03,77,1456
2019-04,29,1485
2019-05,52,1537
2019-06,29,1566
2019-07,34,1600
2019-08,51,1651
2019-09,46,1697
2019-10,53,1750
2019-11,60,1810
2019-12,43,1853
2020-01,63,1916
2020-02,58,1974
2020-03,102,2076
2020-04,45,2121
2020-05,46,2167
2020-06,36,2203
2020-07,47,2250
2020-08,46,2296
2020-09,32,2328
2020-10,28,2356
2020-11,34,2390
2020-12,24,2414
2021-01,35,2449
2021-02,33,2482
2021-03,31,2513
2021-04,47,2560
2021-05,38,2598
2021-06,38,2636
2021-07,31,2667
2021-08,31,2698
2021-09,35,2733
2021-10,35,2768
2021-11,37,2805
2021-12,36,2841
2022-01,37,2878
2022-02,29,2907
2022-03,29,2936
2022-04,26,2962
2022-05,36,2998
2022-06,28,3026
2022-07,43,3069
2022-08,28,3097
2022-09,45,3142
2022-10,27,3169
2022-11,52,3221
2022-12,41,3262
2023-01,33,3295
2023-02,41,3336
2023-03,57,3393
2023-04,29,3422
2023-05,35,3457
2023-06,40,3497
2023-07,26,3523
2023-08,30,3553
2023-09,43,3596
2023-10,39,3635
2023-11,37,3672
2023-12,45,3717
2024-01,57,3774
2024-02,32,3806
2024-03,43,3849
2024-04,38,3887
2024-05,30,3917
2024-06,26,3943
2024-07,28,3971
2024-08,27,3998
2024-09,45,4043
2024-10,66,4109
