Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-02,5,6
2015-06,4,10
2015-07,17,27
2015-08,4,31
2015-09,5,36
2015-10,1,37
2015-11,3,40
2016-02,2,42
2016-03,3,45
2016-04,6,51
2016-05,2,53
2016-06,3,56
2016-07,7,63
2016-08,17,80
2016-09,7,87
2016-10,9,96
2016-11,4,100
2016-12,6,106
2017-02,4,110
2017-03,4,114
2017-04,4,118
2017-05,10,128
2017-06,26,154
2017-07,15,169
2017-09,9,178
2017-10,4,182
2017-11,14,196
2017-12,12,208
2018-01,4,212
2018-02,8,220
2018-03,9,229
2018-04,30,259
2018-05,7,266
2018-06,17,283
2018-07,11,294
2018-08,29,323
2018-09,5,328
2018-10,13,341
2018-11,12,353
2018-12,10,363
2019-01,5,368
2019-02,20,388
2019-03,5,393
2019-04,9,402
2019-05,22,424
2019-06,20,444
2019-07,34,478
2019-08,29,507
2019-09,17,524
2019-10,10,534
2019-11,28,562
2019-12,10,572
2020-01,17,589
2020-02,14,603
2020-03,58,661
2020-04,40,701
2020-05,17,718
2020-06,22,740
2020-07,37,777
2020-08,19,796
2020-09,18,814
2020-10,13,827
2020-11,13,840
2021-01,8,848
2021-02,12,860
2021-03,4,864
2021-04,25,889
2021-05,21,910
2021-06,4,914
2021-07,6,920
2021-08,8,928
2021-09,5,933
2021-11,26,959
2021-12,28,987
2022-01,45,1032
2022-03,18,1050
2022-04,4,1054
2022-05,22,1076
2022-06,5,1081
2022-07,22,1103
2022-08,5,1108
2022-09,15,1123
2022-10,5,1128
2022-11,33,1161
2022-12,15,1176
2023-01,17,1193
2023-02,25,1218
2023-03,20,1238
2023-04,16,1254
2023-05,14,1268
2023-06,42,1310
2023-07,2,1312
2023-08,11,1323
2023-09,25,1348
2023-10,13,1361
2023-11,13,1374
2023-12,7,1381
2024-01,34,1415
2024-02,31,1446
2024-03,1,1447
2024-04,10,1457
2024-05,10,1467
2024-06,17,1484
2024-07,17,1501
2024-08,10,1511
2024-09,7,1518
2024-10,23,1541
