Date,Monthly Value,Accumulated Value
2015-01,11,11
2015-02,7,18
2015-03,13,31
2015-04,5,36
2015-05,9,45
2015-06,14,59
2015-07,15,74
2015-08,9,83
2015-09,14,97
2015-10,8,105
2015-11,10,115
2015-12,11,126
2016-01,12,138
2016-02,5,143
2016-03,10,153
2016-04,10,163
2016-05,7,170
2016-06,10,180
2016-07,17,197
2016-08,6,203
2016-09,17,220
2016-10,10,230
2016-11,13,243
2016-12,16,259
2017-01,14,273
2017-02,13,286
2017-03,13,299
2017-04,9,308
2017-05,10,318
2017-06,11,329
2017-07,15,344
2017-08,13,357
2017-09,16,373
2017-10,10,383
2017-11,8,391
2017-12,7,398
2018-01,14,412
2018-02,10,422
2018-03,21,443
2018-04,7,450
2018-05,7,457
2018-06,12,469
2018-07,14,483
2018-08,8,491
2018-09,11,502
2018-10,6,508
2018-11,14,522
2018-12,5,527
2019-01,6,533
2019-02,9,542
2019-03,17,559
2019-04,15,574
2019-05,11,585
2019-06,11,596
2019-07,17,613
2019-08,17,630
2019-09,9,639
2019-10,14,653
2019-11,7,660
2019-12,9,669
2020-01,8,677
2020-02,14,691
2020-03,11,702
2020-04,11,713
2020-05,5,718
2020-06,8,726
2020-07,10,736
2020-08,9,745
2020-09,13,758
2020-10,6,764
2020-11,5,769
2020-12,10,779
2021-01,7,786
2021-02,8,794
2021-03,13,807
2021-04,7,814
2021-05,8,822
2021-06,6,828
2021-07,5,833
2021-08,11,844
2021-09,7,851
2021-10,9,860
2021-11,8,868
2021-12,15,883
2022-01,16,899
2022-02,13,912
2022-03,16,928
2022-04,5,933
2022-05,3,936
2022-06,14,950
2022-07,15,965
2022-08,3,968
2022-09,3,971
2022-10,11,982
2022-11,8,990
2022-12,5,995
2023-01,4,999
2023-02,8,1007
2023-03,11,1018
2023-04,5,1023
2023-05,5,1028
2023-06,4,1032
2023-07,7,1039
2023-08,6,1045
2023-09,5,1050
2023-10,7,1057
2023-11,7,1064
2023-12,2,1066
2024-01,2,1068
2024-02,10,1078
2024-03,9,1087
2024-04,9,1096
2024-05,3,1099
2024-06,6,1105
2024-07,8,1113
2024-08,13,1126
2024-09,10,1136
2024-10,7,1143
