Date,Monthly Value,Accumulated Value
2015-01,8,8
2015-02,742,750
2015-04,-1,749
2015-05,704,1453
2015-06,-2,1451
2015-07,23,1474
2015-08,1946,3420
2015-11,3368,6788
2015-12,53,6841
2016-01,8786,15627
2016-02,30667,46294
2016-03,33131,79425
2016-04,-34597,44828
2016-05,410,45238
2016-06,-42728,2510
2016-08,2784,5294
2016-09,13819,19113
2016-10,1365,20478
2016-11,3907,24385
2016-12,73,24458
2017-01,-4219,20239
2017-02,-729,19510
2017-03,2559,22069
2017-04,3402,25471
2017-05,-7548,17923
2017-06,1528,19451
2017-07,7461,26912
2017-08,6310,33222
2017-09,515,33737
2017-10,-2632,31105
2017-11,149,31254
2017-12,78,31332
2018-01,713,32045
2018-02,4,32049
2018-03,-2,32047
2018-04,488,32535
2018-05,554,33089
2018-06,-152,32937
2018-07,244,33181
2018-08,1093,34274
2018-09,145,34419
2018-11,51,34470
2018-12,714,35184
2019-01,28,35212
2019-02,676,35888
2019-03,30,35918
2019-04,22,35940
2019-05,560,36500
2019-06,222,36722
2019-08,186,36908
2019-09,802,37710
2019-10,2,37712
2019-11,631,38343
2019-12,9,38352
2020-02,1,38353
2020-06,5,38358
2020-07,66,38424
2020-08,641,39065
2020-09,873,39938
2020-10,270,40208
2020-11,2694,42902
2021-01,29,42931
2021-02,-50,42881
2021-03,24,42905
2021-06,-6,42899
2021-07,-46,42853
2021-08,259,43112
2021-09,188,43300
2021-10,142,43442
2021-11,2486,45928
2021-12,65,45993
2022-01,80,46073
2022-03,629,46702
2022-04,626,47328
2022-05,42,47370
2022-07,33,47403
2022-08,-3705,43698
2022-09,-240,43458
2022-10,65,43523
2022-11,-208,43315
2023-01,2007,45322
2023-02,107,45429
2023-03,245,45674
2023-04,231,45905
2023-06,326,46231
2023-07,998,47229
2023-08,5,47234
2023-09,33,47267
2023-10,73,47340
2023-11,2,47342
2023-12,6491,53833
2024-01,1436,55269
2024-03,95,55364
2024-04,3,55367
2024-05,90,55457
2024-06,-2,55455
2024-07,35,55490
2024-08,1316,56806
2024-09,701,57507
