Date,Monthly Value,Accumulated Value
2015-01,24,24
2015-02,19,43
2015-03,40,83
2015-04,73,156
2015-05,45,201
2015-06,49,250
2015-07,57,307
2015-08,56,363
2015-09,41,404
2015-10,34,438
2015-11,36,474
2015-12,43,517
2016-01,41,558
2016-02,33,591
2016-03,47,638
2016-04,46,684
2016-05,33,717
2016-06,34,751
2016-07,56,807
2016-08,40,847
2016-09,23,870
2016-10,43,913
2016-11,37,950
2016-12,29,979
2017-01,30,1009
2017-02,43,1052
2017-03,47,1099
2017-04,43,1142
2017-05,52,1194
2017-06,40,1234
2017-07,59,1293
2017-08,47,1340
2017-09,45,1385
2017-10,25,1410
2017-11,33,1443
2017-12,41,1484
2018-01,44,1528
2018-02,42,1570
2018-03,52,1622
2018-04,46,1668
2018-05,49,1717
2018-06,62,1779
2018-07,57,1836
2018-08,55,1891
2018-09,39,1930
2018-10,43,1973
2018-11,35,2008
2018-12,27,2035
2019-01,38,2073
2019-02,30,2103
2019-03,35,2138
2019-04,18,2156
2019-05,31,2187
2019-06,16,2203
2019-07,31,2234
2019-08,31,2265
2019-09,20,2285
2019-10,23,2308
2019-11,27,2335
2019-12,14,2349
2020-01,19,2368
2020-02,13,2381
2020-03,18,2399
2020-04,18,2417
2020-05,23,2440
2020-06,34,2474
2020-07,85,2559
2020-08,45,2604
2020-09,47,2651
2020-10,35,2686
2020-11,22,2708
2020-12,26,2734
2021-01,18,2752
2021-02,25,2777
2021-03,30,2807
2021-04,17,2824
2021-05,12,2836
2021-06,13,2849
2021-07,17,2866
2021-08,15,2881
2021-09,9,2890
2021-10,11,2901
2021-11,11,2912
2021-12,11,2923
2022-01,16,2939
2022-02,10,2949
2022-03,15,2964
2022-04,6,2970
2022-05,6,2976
2022-06,4,2980
2022-07,3,2983
2022-08,7,2990
2022-09,2,2992
2022-10,1,2993
2022-11,6,2999
2022-12,5,3004
2023-01,2,3006
2023-02,1,3007
2023-03,7,3014
2023-04,3,3017
2023-05,1,3018
2023-06,1,3019
2023-08,4,3023
2023-09,1,3024
2023-10,1,3025
2023-11,6,3031
2023-12,1,3032
2024-02,2,3034
2024-03,1,3035
2024-04,4,3039
2024-06,1,3040
2024-07,1,3041
2024-10,2,3043
