Date,Monthly Value,Accumulated Value
2015-01,982,982
2015-02,1468,2450
2015-03,2044,4494
2015-04,1949,6443
2015-05,178,6621
2015-06,229,6850
2015-07,582,7432
2015-08,139,7571
2015-09,110,7681
2015-10,18,7699
2015-12,382,8081
2016-01,188,8269
2016-02,285,8554
2016-03,141,8695
2016-04,4418,13113
2016-05,234,13347
2016-06,2179,15526
2016-07,1802,17328
2016-08,709,18037
2016-09,155,18192
2016-10,884,19076
2016-12,136,19212
2017-01,303,19515
2017-02,431,19946
2017-04,401,20347
2017-05,194,20541
2017-09,111,20652
2017-11,164,20816
2018-01,1775,22591
2018-02,1870,24461
2018-03,2582,27043
2018-04,20909,47952
2018-05,8291,56243
2018-06,115,56358
2018-07,1601,57959
2018-08,1092,59051
2018-09,2075,61126
2018-10,1732,62858
2018-11,2002,64860
2018-12,199,65059
2019-01,3223,68282
2019-03,83,68365
2019-04,4563,72928
2019-05,108,73036
2019-06,7214,80250
2019-07,5610,85860
2019-08,4679,90539
2019-09,130,90669
2019-10,274,90943
2019-11,317,91260
2019-12,495,91755
2020-01,9,91764
2020-02,390,92154
2020-03,10,92164
2020-04,1573,93737
2020-05,1523,95260
2020-06,728,95988
2020-07,79,96067
2020-08,3678,99745
2020-09,4104,103849
2020-10,5552,109401
2020-11,10453,119854
2020-12,9503,129357
2021-01,3650,133007
2021-02,6338,139345
2021-03,2287,141632
2021-04,5762,147394
2021-05,2808,150202
2021-06,680,150882
2021-07,1379,152261
2021-08,831,153092
2021-09,3007,156099
2021-10,1416,157515
2021-11,28,157543
2021-12,28,157571
2022-01,477,158048
2022-02,24,158072
2022-03,315,158387
2022-04,67,158454
2022-05,181,158635
2022-06,2434,161069
2022-07,779,161848
2022-08,195,162043
2022-09,2,162045
2022-11,16,162061
2022-12,250,162311
2023-01,2827,165138
2023-02,128,165266
2023-03,129,165395
2023-04,47681,213076
2023-05,9,213085
2023-06,3363,216448
2023-07,22372,238820
2023-08,164,238984
2023-09,351,239335
2023-10,164,239499
2023-11,18,239517
2023-12,1193,240710
2024-01,669,241379
2024-02,8312,249691
2024-03,853,250544
2024-04,455,250999
2024-05,69,251068
2024-06,69,251137
2024-07,84,251221
2024-08,41,251262
2024-09,599,251861
2024-10,1871,253732
