Date,Monthly Value,Accumulated Value
2016-05,1,1
2016-09,1,2
2016-12,1,3
2017-03,8,11
2017-04,3,14
2017-05,2,16
2017-06,10,26
2017-07,5,31
2017-08,11,42
2017-09,10,52
2017-10,16,68
2017-11,14,82
2017-12,25,107
2018-01,41,148
2018-02,30,178
2018-03,34,212
2018-04,30,242
2018-05,149,391
2018-06,24,415
2018-07,46,461
2018-08,29,490
2018-09,27,517
2018-10,49,566
2018-11,40,606
2018-12,33,639
2019-01,44,683
2019-02,95,778
2019-03,73,851
2019-04,111,962
2019-05,80,1042
2019-06,72,1114
2019-07,93,1207
2019-08,55,1262
2019-09,83,1345
2019-10,114,1459
2019-11,129,1588
2019-12,83,1671
2020-01,102,1773
2020-02,58,1831
2020-03,83,1914
2020-04,94,2008
2020-05,102,2110
2020-06,81,2191
2020-07,125,2316
2020-08,94,2410
2020-09,119,2529
2020-10,721,3250
2020-11,85,3335
2020-12,117,3452
2021-01,125,3577
2021-02,132,3709
2021-03,130,3839
2021-04,131,3970
2021-05,104,4074
2021-06,104,4178
2021-07,78,4256
2021-08,110,4366
2021-09,109,4475
2021-10,121,4596
2021-11,139,4735
2021-12,118,4853
2022-01,132,4985
2022-02,113,5098
2022-03,127,5225
2022-04,114,5339
2022-05,132,5471
2022-06,118,5589
2022-07,110,5699
2022-08,128,5827
2022-09,126,5953
2022-10,103,6056
2022-11,85,6141
2022-12,80,6221
2023-01,74,6295
2023-02,92,6387
2023-03,102,6489
2023-04,99,6588
2023-05,96,6684
2023-06,114,6798
2023-07,81,6879
2023-08,71,6950
2023-09,83,7033
2023-10,76,7109
2023-11,46,7155
2023-12,83,7238
2024-01,68,7306
2024-02,120,7426
2024-03,122,7548
2024-04,87,7635
2024-05,144,7779
2024-06,92,7871
2024-07,79,7950
2024-08,80,8030
2024-09,84,8114
2024-10,80,8194
