Date,Monthly Value,Accumulated Value
2015-01,10,10
2015-02,2,12
2015-03,2,14
2015-04,3,17
2015-05,6,23
2015-06,7,30
2015-07,13,43
2015-08,4,47
2015-09,8,55
2015-10,10,65
2015-11,3,68
2015-12,8,76
2016-01,7,83
2016-02,4,87
2016-03,7,94
2016-04,9,103
2016-05,7,110
2016-06,10,120
2016-07,13,133
2016-08,4,137
2016-09,10,147
2016-10,12,159
2016-11,10,169
2016-12,19,188
2017-01,22,210
2017-02,8,218
2017-03,10,228
2017-04,10,238
2017-05,14,252
2017-06,15,267
2017-07,11,278
2017-08,14,292
2017-09,13,305
2017-10,10,315
2017-11,6,321
2017-12,12,333
2018-01,8,341
2018-02,2,343
2018-03,13,356
2018-04,11,367
2018-05,17,384
2018-06,6,390
2018-07,6,396
2018-08,5,401
2018-09,7,408
2018-10,6,414
2018-11,9,423
2018-12,12,435
2019-01,16,451
2019-02,6,457
2019-03,12,469
2019-04,3,472
2019-05,9,481
2019-06,5,486
2019-07,5,491
2019-08,8,499
2019-09,4,503
2019-10,3,506
2019-11,7,513
2019-12,3,516
2020-01,4,520
2020-02,9,529
2020-03,25,554
2020-04,10,564
2020-05,8,572
2020-06,4,576
2020-07,2,578
2020-08,2,580
2020-09,11,591
2020-10,3,594
2020-11,10,604
2020-12,9,613
2021-01,7,620
2021-02,4,624
2021-03,4,628
2021-04,10,638
2021-05,9,647
2021-06,10,657
2021-07,5,662
2021-08,4,666
2021-09,2,668
2021-10,7,675
2021-11,8,683
2021-12,16,699
2022-01,13,712
2022-02,9,721
2022-03,7,728
2022-04,4,732
2022-05,5,737
2022-06,3,740
2022-07,5,745
2022-08,2,747
2022-09,1,748
2022-10,2,750
2022-11,3,753
2022-12,1,754
2023-01,1,755
2023-04,3,758
2023-05,2,760
2023-06,3,763
2023-07,3,766
2023-08,1,767
2023-10,3,770
2023-11,2,772
