Date,Monthly Value,Accumulated Value
2015-01,1031,1031
2015-02,920,1951
2015-03,1243,3194
2015-04,1322,4516
2015-05,1136,5652
2015-06,1155,6807
2015-07,1425,8232
2015-08,1451,9683
2015-09,1349,11032
2015-10,1285,12317
2015-11,1256,13573
2015-12,1183,14756
2016-01,1248,16004
2016-02,939,16943
2016-03,1543,18486
2016-04,1360,19846
2016-05,1358,21204
2016-06,1219,22423
2016-07,1395,23818
2016-08,1355,25173
2016-09,1318,26491
2016-10,1273,27764
2016-11,1152,28916
2016-12,1108,30024
2017-01,1039,31063
2017-02,1217,32280
2017-03,1568,33848
2017-04,1276,35124
2017-05,1248,36372
2017-06,1173,37545
2017-07,1389,38934
2017-08,1385,40319
2017-09,1406,41725
2017-10,1364,43089
2017-11,1335,44424
2017-12,1169,45593
2018-01,1326,46919
2018-02,896,47815
2018-03,1287,49102
2018-04,1159,50261
2018-05,1105,51366
2018-06,917,52283
2018-07,1079,53362
2018-08,929,54291
2018-09,898,55189
2018-10,872,56061
2018-11,876,56937
2018-12,682,57619
2019-01,701,58320
2019-02,660,58980
2019-03,994,59974
2019-04,935,60909
2019-05,932,61841
2019-06,806,62647
2019-07,978,63625
2019-08,726,64351
2019-09,639,64990
2019-10,665,65655
2019-11,696,66351
2019-12,608,66959
2020-01,524,67483
2020-02,550,68033
2020-03,650,68683
2020-04,639,69322
2020-05,675,69997
2020-06,618,70615
2020-07,923,71538
2020-08,731,72269
2020-09,731,73000
2020-10,698,73698
2020-11,648,74346
2020-12,738,75084
2021-01,859,75943
2021-02,709,76652
2021-03,694,77346
2021-04,704,78050
2021-05,685,78735
2021-06,623,79358
2021-07,768,80126
2021-08,601,80727
2021-09,563,81290
2021-10,564,81854
2021-11,580,82434
2021-12,489,82923
2022-01,648,83571
2022-02,472,84043
2022-03,481,84524
2022-04,440,84964
2022-05,407,85371
2022-06,327,85698
2022-07,397,86095
2022-08,377,86472
2022-09,420,86892
2022-10,364,87256
2022-11,338,87594
2022-12,296,87890
2023-01,322,88212
2023-02,325,88537
2023-03,459,88996
2023-04,410,89406
2023-05,348,89754
2023-06,247,90001
2023-07,239,90240
2023-08,254,90494
2023-09,233,90727
2023-10,216,90943
2023-11,192,91135
2023-12,179,91314
2024-01,198,91512
2024-02,218,91730
2024-03,233,91963
2024-04,274,92237
2024-05,291,92528
2024-06,225,92753
2024-07,269,93022
2024-08,338,93360
2024-09,310,93670
2024-10,209,93879
