Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-03,1,2
2015-05,4,6
2015-06,32,38
2015-07,7,45
2015-09,1,46
2015-11,21,67
2015-12,4,71
2016-02,16,87
2016-03,17,104
2016-04,12,116
2016-05,7,123
2016-06,11,134
2016-07,2,136
2016-08,5,141
2016-09,1,142
2016-10,13,155
2016-12,1,156
2017-01,3,159
2017-02,1,160
2017-04,1,161
2017-07,5,166
2017-08,5,171
2017-09,2,173
2017-10,2,175
2017-11,1,176
2017-12,1,177
2018-01,6,183
2018-09,1,184
2019-04,3,187
2019-08,4,191
2019-09,3,194
2019-10,6,200
2020-01,5,205
2020-02,1,206
2020-03,19,225
2020-07,2,227
2020-09,1,228
2021-05,1,229
2021-09,3,232
2023-01,1,233
2024-03,1,234
2024-08,5,239
2024-09,1,240
