Date,Monthly Value,Accumulated Value
2019-10,1,1
2019-11,3,4
2019-12,3,7
2020-01,3,10
2020-02,3,13
2020-03,4,17
2020-04,4,21
2020-05,4,25
2020-06,5,30
2020-07,5,35
2020-08,5,40
2020-09,5,45
2020-10,6,51
2020-11,6,57
2020-12,6,63
2021-01,6,69
2021-02,5,74
2021-03,5,79
2021-04,5,84
2021-05,5,89
2021-06,6,95
2021-07,6,101
2021-08,9,110
2021-09,9,119
2021-10,9,128
2021-11,10,138
2021-12,9,147
2022-01,8,155
2022-02,8,163
2022-03,8,171
2022-04,8,179
2022-05,9,188
2022-06,10,198
2022-07,11,209
2022-08,11,220
2022-09,11,231
2022-10,11,242
2022-11,11,253
2022-12,11,264
2023-01,11,275
2023-02,11,286
2023-03,11,297
2023-04,11,308
2023-05,11,319
2023-06,11,330
2023-07,11,341
2023-08,11,352
2023-09,11,363
2023-10,11,374
2023-11,11,385
2023-12,11,396
2024-01,11,407
2024-02,10,417
2024-03,10,427
2024-04,10,437
2024-05,10,447
2024-06,10,457
2024-07,10,467
2024-08,10,477
2024-09,11,488
2024-10,11,499
