Date,Monthly Value,Accumulated Value
2016-12,6,6
2017-01,3,9
2017-02,6,15
2017-03,13,28
2017-04,37,65
2017-05,23,88
2017-06,37,125
2017-07,62,187
2017-08,60,247
2017-09,93,340
2017-10,99,439
2017-11,57,496
2017-12,33,529
2018-01,61,590
2018-02,36,626
2018-03,35,661
2018-04,61,722
2018-05,28,750
2018-06,53,803
2018-07,56,859
2018-08,29,888
2018-09,22,910
2018-10,31,941
2018-11,41,982
2018-12,50,1032
2019-01,66,1098
2019-02,91,1189
2019-03,81,1270
2019-04,50,1320
2019-05,54,1374
2019-06,113,1487
2019-07,111,1598
2019-08,104,1702
2019-09,55,1757
2019-10,71,1828
2019-11,41,1869
2019-12,42,1911
2020-01,42,1953
2020-02,41,1994
2020-03,50,2044
2020-04,52,2096
2020-05,61,2157
2020-06,28,2185
2020-07,21,2206
2020-08,12,2218
2020-09,30,2248
2020-10,52,2300
2020-11,44,2344
2020-12,28,2372
2021-01,22,2394
2021-02,33,2427
2021-03,50,2477
2021-04,30,2507
2021-05,33,2540
2021-06,45,2585
2021-07,25,2610
2021-08,16,2626
2021-09,16,2642
2021-10,19,2661
2021-11,19,2680
2021-12,27,2707
2022-01,9,2716
2022-02,11,2727
2022-03,15,2742
2022-04,15,2757
2022-05,22,2779
2022-06,69,2848
2022-07,13,2861
2022-08,48,2909
2022-09,11,2920
2022-10,36,2956
2022-11,34,2990
2022-12,24,3014
2023-01,39,3053
2023-02,25,3078
2023-03,40,3118
2023-04,37,3155
2023-05,36,3191
2023-06,32,3223
2023-07,29,3252
2023-08,66,3318
2023-09,36,3354
2023-10,15,3369
2023-11,35,3404
2023-12,31,3435
2024-01,34,3469
2024-02,23,3492
2024-03,41,3533
2024-04,57,3590
2024-05,41,3631
2024-06,10,3641
2024-07,34,3675
2024-08,21,3696
2024-09,7,3703
2024-10,17,3720
