Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-03,1,3
2015-09,1,4
2015-11,2,6
2016-03,1,7
2016-07,1,8
2016-08,2,10
2016-10,1,11
2016-11,2,13
2017-01,1,14
2017-02,1,15
2017-03,1,16
2017-08,3,19
2017-09,2,21
2017-10,2,23
2017-11,1,24
2017-12,2,26
2018-01,4,30
2018-02,4,34
2018-03,2,36
2018-04,2,38
2018-06,2,40
2018-07,1,41
2018-08,2,43
2018-10,1,44
2018-11,2,46
2018-12,2,48
2019-01,4,52
2019-02,5,57
2019-03,1,58
2019-04,1,59
2019-05,1,60
2019-06,1,61
2019-07,2,63
2019-08,1,64
2019-09,2,66
2019-10,2,68
2019-11,1,69
2019-12,8,77
2020-01,2,79
2020-02,2,81
2020-03,2,83
2020-04,4,87
2020-05,2,89
2020-06,3,92
2020-07,2,94
2020-08,3,97
2020-09,1,98
2020-10,3,101
2020-11,2,103
2020-12,4,107
2021-01,2,109
2021-02,1,110
2021-03,4,114
2021-04,3,117
2021-05,3,120
2021-07,1,121
2021-08,2,123
2021-09,2,125
2021-10,1,126
2022-08,2,128
2022-10,2,130
2022-11,1,131
2023-05,1,132
2023-07,1,133
2023-09,1,134
