Date,Monthly Value,Accumulated Value
2015-06,446,446
2015-07,692,1138
2015-09,34,1172
2015-10,537,1709
2016-01,77,1786
2016-02,122,1908
2016-03,134,2042
2016-05,671,2713
2016-06,549,3262
2016-07,189,3451
2016-08,8,3459
2016-09,84,3543
2016-10,260,3803
2016-11,357,4160
2017-01,89,4249
2017-05,529,4778
2017-06,219,4997
2017-07,571,5568
2017-09,119,5687
2018-01,330,6017
2018-02,189,6206
2018-03,36,6242
2018-04,-5,6237
2018-05,9,6246
2018-07,22,6268
2018-08,28,6296
2018-09,19,6315
2018-11,12,6327
2019-02,16,6343
2019-03,24,6367
2019-04,9,6376
2019-05,6,6382
2019-07,9,6391
2019-09,292,6683
2019-11,76,6759
2020-03,324,7083
2020-05,22,7105
2020-06,144,7249
2021-01,253,7502
2022-02,5,7507
2023-01,253,7760
