Date,Monthly Value,Accumulated Value
2015-01,4,4
2015-02,1,5
2015-03,15,20
2015-04,14,34
2015-06,17,51
2015-07,7,58
2015-08,10,68
2015-09,6,74
2015-10,12,86
2015-11,2,88
2015-12,4,92
2016-01,11,103
2016-02,11,114
2016-03,14,128
2016-04,17,145
2016-05,4,149
2016-06,5,154
2016-07,22,176
2016-08,1,177
2016-10,1,178
2016-11,4,182
2017-01,1,183
2017-02,4,187
2017-03,2,189
2017-04,1,190
2017-07,3,193
2017-10,12,205
2017-11,9,214
2017-12,1,215
2018-01,1,216
2018-02,1,217
2018-03,3,220
2018-04,1,221
2018-05,2,223
2018-06,3,226
2018-07,1,227
2018-09,1,228
2018-11,1,229
2019-01,2,231
2019-03,1,232
2019-04,6,238
2019-05,1,239
2019-06,5,244
2019-08,9,253
2019-09,4,257
2019-10,6,263
2019-11,7,270
2019-12,4,274
2020-01,2,276
2020-02,4,280
2020-03,1,281
2020-05,1,282
2020-07,1,283
2020-12,1,284
2021-01,3,287
2021-02,1,288
2021-04,1,289
2021-07,2,291
2021-09,4,295
2021-11,1,296
2022-01,2,298
2022-02,3,301
2022-03,1,302
2022-04,2,304
2022-06,1,305
2022-07,2,307
2022-08,1,308
2022-09,1,309
2022-10,1,310
2022-11,1,311
2023-01,1,312
2023-02,1,313
2023-07,1,314
2023-10,1,315
2024-01,3,318
2024-02,3,321
