Date,Monthly Value,Accumulated Value
2015-01,127442,127442
2015-02,-5308,122134
2015-03,-44378,77756
2015-04,13535,91291
2015-05,25439,116730
2015-06,31426,148156
2015-07,31654,179810
2015-08,16207,196017
2015-09,13916,209933
2015-10,-6076,203857
2015-11,35027,238884
2015-12,9608,248492
2016-01,-5911,242581
2016-02,13241,255822
2016-03,49749,305571
2016-04,24518,330089
2016-05,20771,350860
2016-06,1665,352525
2016-07,201,352726
2016-08,2356,355082
2016-09,386,355468
2016-10,928,356396
2016-11,10389,366785
2016-12,28998,395783
2017-01,226,396009
2017-02,38968,434977
2017-03,71728,506705
2017-04,172,506877
2017-05,2721,509598
2017-06,-53724,455874
2017-07,3703,459577
2017-08,2207,461784
2017-09,4799,466583
2017-10,9196,475779
2017-11,130708,606487
2017-12,10556,617043
2018-01,-1980,615063
2018-02,5383,620446
2018-03,18345,638791
2018-04,-234,638557
2018-05,689,639246
2018-06,12190,651436
2018-07,12313,663749
2018-08,12298,676047
2018-09,4723,680770
2018-10,32480,713250
2018-11,27799,741049
2018-12,36772,777821
2019-01,72701,850522
2019-02,63054,913576
2019-03,8787,922363
2019-04,13514,935877
2019-05,-37277,898600
2019-06,-35193,863407
2019-07,37878,901285
2019-08,3238,904523
2019-09,120065,1024588
2019-10,-57039,967549
2019-11,-7941,959608
2019-12,-78007,881601
2020-01,8630,890231
2020-02,7499,897730
2020-03,3915,901645
2020-04,29045,930690
2020-05,155946,1086636
2020-06,389001,1475637
2020-07,26302,1501939
2020-08,513,1502452
2020-09,1234,1503686
2020-10,338,1504024
2020-11,3429,1507453
2020-12,906,1508359
2021-01,-23700,1484659
2021-02,42525,1527184
2021-03,136947,1664131
2021-04,12770,1676901
2021-05,14020,1690921
2021-06,11478,1702399
2021-07,10624,1713023
2021-08,10181,1723204
2021-09,10997,1734201
2021-10,4254,1738455
2021-11,17996,1756451
2021-12,6588,1763039
2022-01,3321,1766360
2022-02,50184,1816544
2022-03,-51811,1764733
2022-04,14329,1779062
2022-05,-8657,1770405
2022-06,-4812,1765593
2022-07,-4929,1760664
2022-08,13854,1774518
2022-09,4207,1778725
2022-10,1372,1780097
2022-11,30708,1810805
2022-12,4411,1815216
2023-01,1540,1816756
2023-02,49378,1866134
2023-03,651,1866785
2023-04,2113,1868898
2023-05,1841,1870739
2023-06,2810,1873549
2023-07,1062,1874611
2023-08,479,1875090
2023-09,1803,1876893
2023-10,4977,1881870
2023-11,1819,1883689
2023-12,4241,1887930
2024-01,10368,1898298
2024-02,30584,1928882
2024-03,2530,1931412
2024-04,559,1931971
2024-05,1657,1933628
2024-06,446,1934074
2024-07,1830,1935904
2024-08,4446,1940350
2024-09,19694,1960044
2024-10,-25609,1934435
