Date,Monthly Value,Accumulated Value
2015-08,4,4
2015-09,11,15
2015-10,13,28
2015-11,15,43
2015-12,16,59
2016-01,17,76
2016-02,16,92
2016-03,20,112
2016-04,23,135
2016-05,24,159
2016-06,24,183
2016-07,26,209
2016-08,28,237
2016-09,28,265
2016-10,32,297
2016-11,33,330
2016-12,36,366
2017-01,42,408
2017-02,42,450
2017-03,43,493
2017-04,47,540
2017-05,49,589
2017-06,54,643
2017-07,55,698
2017-08,54,752
2017-09,53,805
2017-10,54,859
2017-11,53,912
2017-12,53,965
2018-01,54,1019
2018-02,56,1075
2018-03,57,1132
2018-04,58,1190
2018-05,62,1252
2018-06,65,1317
2018-07,68,1385
2018-08,70,1455
2018-09,73,1528
2018-10,70,1598
2018-11,72,1670
2018-12,81,1751
2019-01,81,1832
2019-02,81,1913
2019-03,83,1996
2019-04,86,2082
2019-05,92,2174
2019-06,94,2268
2019-07,98,2366
2019-08,103,2469
2019-09,103,2572
2019-10,99,2671
2019-11,98,2769
2019-12,99,2868
2020-01,100,2968
2020-02,100,3068
2020-03,104,3172
2020-04,114,3286
2020-05,113,3399
2020-06,115,3514
2020-07,115,3629
2020-08,118,3747
2020-09,120,3867
2020-10,120,3987
2020-11,125,4112
2020-12,130,4242
2021-01,139,4381
2021-02,133,4514
2021-03,133,4647
2021-04,132,4779
2021-05,132,4911
2021-06,131,5042
2021-07,131,5173
2021-08,133,5306
2021-09,136,5442
2021-10,144,5586
2021-11,152,5738
2021-12,155,5893
2022-01,152,6045
2022-02,150,6195
2022-03,152,6347
2022-04,150,6497
2022-05,152,6649
2022-06,154,6803
2022-07,153,6956
2022-08,157,7113
2022-09,163,7276
2022-10,165,7441
2022-11,165,7606
2022-12,166,7772
2023-01,163,7935
2023-02,164,8099
2023-03,164,8263
2023-04,166,8429
2023-05,170,8599
2023-06,173,8772
2023-07,177,8949
2023-08,182,9131
2023-09,186,9317
2023-10,186,9503
2023-11,186,9689
2023-12,188,9877
2024-01,185,10062
2024-02,182,10244
2024-03,175,10419
2024-04,176,10595
2024-05,176,10771
2024-06,178,10949
2024-07,183,11132
2024-08,187,11319
2024-09,193,11512
2024-10,192,11704
