Date,Monthly Value,Accumulated Value
2016-05,6,6
2016-10,13,19
2016-11,-2,17
2016-12,87,104
2017-02,11,115
2017-03,697,812
2017-04,439,1251
2017-05,508,1759
2017-06,711,2470
2017-07,-743,1727
2017-08,45561,47288
2017-09,7246,54534
2017-10,818,55352
2017-11,24,55376
2017-12,3109,58485
2018-01,936,59421
2018-02,73,59494
2018-03,51664,111158
2018-04,1968,113126
2018-05,2014,115140
2018-06,98,115238
2018-07,342,115580
2018-08,32,115612
2018-09,1616,117228
2018-10,25078,142306
2018-11,352,142658
2018-12,76,142734
2019-01,242,142976
2019-02,3129,146105
2019-04,303,146408
2019-05,7681,154089
2019-06,10432,164521
2019-07,983,165504
2019-08,1183,166687
2019-09,192,166879
2019-10,2594,169473
2019-11,62243,231716
2019-12,64237,295953
2020-01,1418,297371
2020-02,151,297522
2020-03,5113,302635
2020-04,9936,312571
2020-05,455,313026
2020-06,5,313031
2020-07,7923,320954
2020-08,-237,320717
2020-09,874,321591
2020-10,1352,322943
2020-12,9,322952
2021-01,-2790,320162
2021-02,1336,321498
2021-03,2064,323562
2021-04,208,323770
2021-05,977,324747
2021-06,38,324785
2021-07,4,324789
2021-08,555,325344
2021-09,155,325499
2021-10,72,325571
2021-11,21,325592
2021-12,1023,326615
2022-01,3,326618
2022-02,3518,330136
2022-03,150,330286
2022-04,293,330579
2022-05,280,330859
2022-06,29094,359953
2022-07,3686,363639
2022-08,281,363920
2022-09,1426,365346
2022-10,694,366040
2022-11,517,366557
2022-12,114,366671
2023-01,8,366679
2023-02,16112,382791
2023-03,429,383220
2023-04,441,383661
2023-05,78,383739
2023-06,547,384286
2023-07,832,385118
2023-08,780,385898
2023-11,37,385935
2023-12,5,385940
2024-01,-4,385936
2024-02,73,386009
2024-03,3,386012
2024-04,264,386276
2024-05,8505,394781
2024-06,51,394832
2024-07,204,395036
2024-08,267,395303
2024-09,1158,396461
2024-10,16,396477
