Date,Monthly Value,Accumulated Value
2015-10,11258,11258
2015-11,17874,29132
2015-12,4140,33272
2016-01,9754,43026
2016-02,17522,60548
2016-03,10403,70951
2016-04,7711,78662
2016-05,4457,83119
2016-06,14390,97509
2016-07,3250,100759
2016-08,8747,109506
2016-09,374,109880
2016-10,1610,111490
2016-11,1522,113012
2016-12,6528,119540
2017-01,7313,126853
2017-02,10040,136893
2017-03,8349,145242
2017-04,3942,149184
2017-05,3313,152497
2017-06,10727,163224
2017-07,3900,167124
2017-08,11590,178714
2017-09,15406,194120
2017-10,14273,208393
2017-11,16878,225271
2017-12,35316,260587
2018-01,1786,262373
2018-02,364,262737
2018-03,1849,264586
2018-04,1977,266563
2018-05,1912,268475
2018-07,1111,269586
2018-08,901,270487
2018-09,1338,271825
2018-10,2358,274183
2018-11,10,274193
2018-12,1428,275621
2019-01,1969,277590
2019-02,3872,281462
2019-03,2789,284251
2019-04,4659,288910
2019-05,2811,291721
2019-06,3742,295463
2019-07,11036,306499
2019-08,44754,351253
2019-09,44591,395844
2019-10,57896,453740
2019-11,50596,504336
2019-12,4228,508564
2020-01,50117,558681
2020-02,54690,613371
2020-03,76729,690100
2020-04,10218,700318
2020-05,292009,992327
2020-06,100621,1092948
2020-07,166503,1259451
2020-08,270019,1529470
2020-09,84346,1613816
2020-10,224259,1838075
2020-11,277740,2115815
2020-12,96943,2212758
2021-01,16925,2229683
2021-02,132759,2362442
2021-03,58316,2420758
2021-04,17882,2438640
2021-05,21948,2460588
2021-06,1250,2461838
2021-07,1032,2462870
2021-08,5997,2468867
2021-09,35061,2503928
2021-10,833,2504761
2021-11,6954,2511715
2021-12,4328,2516043
2022-01,4816,2520859
2022-02,86,2520945
2022-03,382,2521327
2022-04,2265,2523592
2022-05,575,2524167
2022-06,717,2524884
2022-07,3357,2528241
2022-08,35,2528276
2022-09,499,2528775
2022-10,752,2529527
2022-11,823,2530350
2022-12,46256,2576606
2023-01,12,2576618
2023-02,12547,2589165
2023-03,2352,2591517
2023-04,5442,2596959
2023-05,24582,2621541
2023-06,13241,2634782
2023-07,2739,2637521
2023-08,7581,2645102
2023-09,6612,2651714
2023-10,30095,2681809
2023-11,1786,2683595
2023-12,5639,2689234
2024-01,3647,2692881
2024-02,3375,2696256
2024-03,883,2697139
2024-04,6658,2703797
2024-05,1374,2705171
2024-06,2160,2707331
2024-07,92081,2799412
2024-08,1498,2800910
2024-09,2182,2803092
2024-10,4,2803096
