Date,Monthly Value,Accumulated Value
2015-10,2684,2684
2015-11,8987,11671
2015-12,11669,23340
2016-01,3929,27269
2016-02,4951,32220
2016-03,2238,34458
2016-04,1766,36224
2016-05,1007,37231
2016-06,3083,40314
2016-07,644,40958
2016-08,4151,45109
2016-09,134,45243
2016-10,2653,47896
2016-11,456,48352
2016-12,177,48529
2017-01,3049,51578
2017-02,7227,58805
2017-03,6598,65403
2017-04,2224,67627
2017-05,1683,69310
2017-06,544,69854
2017-07,687,70541
2017-08,3847,74388
2017-09,6505,80893
2017-10,7778,88671
2017-11,8946,97617
2017-12,14519,112136
2018-01,315,112451
2018-02,35,112486
2018-03,362,112848
2018-04,280,113128
2018-05,1202,114330
2018-07,256,114586
2018-08,301,114887
2018-09,347,115234
2018-10,1946,117180
2018-11,5,117185
2018-12,27,117212
2019-01,866,118078
2019-02,293,118371
2019-03,808,119179
2019-04,1296,120475
2019-05,2439,122914
2019-06,369,123283
2019-07,772,124055
2019-08,35937,159992
2019-09,18059,178051
2019-10,9967,188018
2019-11,20014,208032
2019-12,1092,209124
2020-01,11336,220460
2020-02,15581,236041
2020-03,13731,249772
2020-04,4381,254153
2020-05,74382,328535
2020-06,30396,358931
2020-07,49258,408189
2020-08,83270,491459
2020-09,25463,516922
2020-10,64804,581726
2020-11,81459,663185
2020-12,124641,787826
2021-01,8463,796289
2021-02,39210,835499
2021-03,16681,852180
2021-04,7254,859434
2021-05,6732,866166
2021-06,318,866484
2021-07,160,866644
2021-08,2105,868749
2021-09,29046,897795
2021-10,200,897995
2021-11,1534,899529
2021-12,465,899994
2022-01,1098,901092
2022-02,63,901155
2022-03,60,901215
2022-04,515,901730
2022-05,378,902108
2022-06,82,902190
2022-07,2804,904994
2022-08,45,905039
2022-09,232,905271
2022-10,533,905804
2022-11,148,905952
2022-12,12124,918076
2023-01,12,918088
2023-02,8929,927017
2023-03,1953,928970
2023-04,1250,930220
2023-05,7944,938164
2023-06,5873,944037
2023-07,848,944885
2023-08,999,945884
2023-09,5732,951616
2023-10,9525,961141
2023-11,567,961708
2023-12,1098,962806
2024-01,720,963526
2024-02,379,963905
2024-03,426,964331
2024-04,1452,965783
2024-05,2017,967800
2024-06,2135,969935
2024-07,44788,1014723
2024-08,95,1014818
2024-09,227,1015045
2024-10,4,1015049
