Date,Monthly Value,Accumulated Value
2015-06,7,7
2015-07,9,16
2015-08,7,23
2015-09,8,31
2015-10,22,53
2015-11,42,95
2015-12,29,124
2016-01,29,153
2016-02,27,180
2016-03,37,217
2016-04,46,263
2016-05,55,318
2016-06,51,369
2016-07,59,428
2016-08,57,485
2016-09,40,525
2016-10,38,563
2016-11,28,591
2016-12,42,633
2017-01,46,679
2017-02,50,729
2017-03,59,788
2017-04,53,841
2017-05,77,918
2017-06,76,994
2017-07,47,1041
2017-08,26,1067
2017-09,35,1102
2017-10,46,1148
2017-11,73,1221
2017-12,29,1250
2018-01,99,1349
2018-02,67,1416
2018-03,55,1471
2018-04,45,1516
2018-05,38,1554
2018-06,44,1598
2018-07,54,1652
2018-08,34,1686
2018-09,33,1719
2018-10,29,1748
2018-11,15,1763
2018-12,19,1782
2019-01,24,1806
2019-02,11,1817
2019-03,26,1843
2019-04,13,1856
2019-05,30,1886
2019-06,33,1919
2019-07,23,1942
2019-08,28,1970
2019-09,13,1983
2019-10,29,2012
2019-11,27,2039
2019-12,23,2062
2020-01,25,2087
2020-02,10,2097
2020-03,11,2108
2020-04,14,2122
2020-05,23,2145
2020-06,11,2156
2020-07,11,2167
2020-08,17,2184
2020-09,17,2201
2020-10,30,2231
2020-11,30,2261
2020-12,26,2287
2021-01,20,2307
2021-02,8,2315
2021-03,10,2325
2021-04,32,2357
2021-05,26,2383
2021-06,15,2398
2021-07,16,2414
2021-08,24,2438
2021-09,29,2467
2021-10,25,2492
2021-11,24,2516
2021-12,21,2537
2022-01,21,2558
2022-02,25,2583
2022-03,18,2601
2022-04,29,2630
2022-05,27,2657
2022-06,22,2679
2022-07,9,2688
2022-08,19,2707
2022-09,37,2744
2022-10,41,2785
2022-11,20,2805
2022-12,19,2824
2023-01,10,2834
2023-02,14,2848
2023-03,12,2860
2023-04,10,2870
2023-05,22,2892
2023-06,18,2910
2023-07,25,2935
2023-08,38,2973
2023-09,13,2986
2023-10,30,3016
2023-11,26,3042
2023-12,8,3050
2024-01,17,3067
2024-02,6,3073
2024-03,14,3087
2024-04,16,3103
2024-05,17,3120
2024-06,11,3131
2024-07,30,3161
2024-08,10,3171
2024-09,11,3182
2024-10,13,3195
