Date,Monthly Value,Accumulated Value
2015-06,356,356
2015-07,34096,34452
2015-08,442,34894
2015-09,1607,36501
2015-10,6712,43213
2015-11,10193,53406
2015-12,23540,76946
2016-01,40000,116946
2016-02,39320,156266
2016-03,3727,159993
2016-04,12946,172939
2016-05,19504,192443
2016-06,24444,216887
2016-07,16295,233182
2016-08,24895,258077
2016-09,21159,279236
2016-10,10162,289398
2016-11,7844,297242
2016-12,20829,318071
2017-01,20917,338988
2017-02,12301,351289
2017-03,29767,381056
2017-04,11958,393014
2017-05,29113,422127
2017-06,23939,446066
2017-07,18976,465042
2017-08,2780,467822
2017-09,3080,470902
2017-10,6831,477733
2017-11,54742,532475
2017-12,23669,556144
2018-01,75140,631284
2018-02,76254,707538
2018-03,24493,732031
2018-04,11312,743343
2018-05,4592,747935
2018-06,4520,752455
2018-07,7310,759765
2018-08,6622,766387
2018-09,8380,774767
2018-10,5142,779909
2018-11,1420,781329
2018-12,3129,784458
2019-01,4625,789083
2019-02,424,789507
2019-03,1516,791023
2019-04,261238,1052261
2019-05,12364,1064625
2019-06,181191,1245816
2019-07,2624,1248440
2019-08,6077,1254517
2019-09,1800,1256317
2019-10,8661,1264978
2019-11,9060,1274038
2019-12,8883,1282921
2020-01,75763,1358684
2020-02,1168,1359852
2020-03,692,1360544
2020-04,3476,1364020
2020-05,7661,1371681
2020-06,988,1372669
2020-07,2716,1375385
2020-08,3429,1378814
2020-09,8584,1387398
2020-10,11630,1399028
2020-11,20969,1419997
2020-12,44987,1464984
2021-01,4240,1469224
2021-02,227,1469451
2021-03,1050,1470501
2021-04,2722,1473223
2021-05,7280,1480503
2021-06,1993,1482496
2021-07,16493,1498989
2021-08,46888,1545877
2021-09,5925,1551802
2021-10,886,1552688
2021-11,4042,1556730
2021-12,444,1557174
2022-01,20757,1577931
2022-02,2625,1580556
2022-03,17839,1598395
2022-04,2520,1600915
2022-05,4943,1605858
2022-06,4365,1610223
2022-07,838,1611061
2022-08,4351,1615412
2022-09,7025,1622437
2022-10,5351,1627788
2022-11,1720,1629508
2022-12,3020,1632528
2023-01,21982,1654510
2023-02,76852,1731362
2023-03,81373,1812735
2023-04,57547,1870282
2023-05,88993,1959275
2023-06,39738,1999013
2023-07,111097,2110110
2023-08,59808,2169918
2023-09,50430,2220348
2023-10,46769,2267117
2023-11,57674,2324791
2023-12,43831,2368622
2024-01,1605,2370227
2024-02,245,2370472
2024-03,668,2371140
2024-04,852,2371992
2024-05,4625,2376617
2024-06,5826,2382443
2024-07,1135,2383578
2024-08,258,2383836
2024-09,591,2384427
2024-10,5303,2389730
