Date,Monthly Value,Accumulated Value
2015-09,1,1
2015-10,2,3
2015-11,2,5
2015-12,3,8
2016-01,3,11
2016-02,3,14
2016-03,3,17
2016-04,3,20
2016-05,4,24
2016-06,4,28
2016-07,4,32
2016-08,5,37
2016-09,5,42
2016-10,5,47
2016-11,5,52
2016-12,5,57
2017-01,4,61
2017-02,4,65
2017-03,4,69
2017-04,5,74
2017-05,5,79
2017-06,5,84
2017-07,6,90
2017-08,6,96
2017-09,6,102
2017-10,6,108
2017-11,6,114
2017-12,6,120
2018-01,6,126
2018-02,7,133
2018-03,7,140
2018-04,7,147
2018-05,7,154
2018-06,6,160
2018-07,6,166
2018-08,6,172
2018-09,6,178
2018-10,6,184
2018-11,6,190
2018-12,7,197
2019-01,8,205
2019-02,8,213
2019-03,8,221
2019-04,8,229
2019-05,9,238
2019-06,9,247
2019-07,9,256
2019-08,9,265
2019-09,9,274
2019-10,9,283
2019-11,9,292
2019-12,9,301
2020-01,9,310
2020-02,9,319
2020-03,9,328
2020-04,9,337
2020-05,9,346
2020-06,9,355
2020-07,9,364
2020-08,9,373
2020-09,8,381
2020-10,8,389
2020-11,8,397
2020-12,8,405
2021-01,8,413
2021-02,8,421
2021-03,9,430
2021-04,9,439
2021-05,9,448
2021-06,9,457
2021-07,9,466
2021-08,9,475
2021-09,9,484
2021-10,9,493
2021-11,9,502
2021-12,9,511
2022-01,9,520
2022-02,10,530
2022-03,10,540
2022-04,10,550
2022-05,10,560
2022-06,10,570
2022-07,10,580
2022-08,10,590
2022-09,10,600
2022-10,10,610
2022-11,10,620
2022-12,10,630
2023-01,10,640
2023-02,10,650
2023-03,11,661
2023-04,11,672
2023-05,11,683
2023-06,11,694
2023-07,11,705
2023-08,11,716
2023-09,12,728
2023-10,12,740
2023-11,12,752
