target_dependency,dependent_library,version,release_timestamp
org.apache.servicemix.bundles:org.apache.servicemix.bundles.azure-cosmos,io.projectreactor.netty:reactor-netty,4.15.0_1,1627104261000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.1.11,1581310836000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.4.0,1607398176000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.4.1,1613369422000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.2.1,1582247706000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.2.0,1581476779000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.1.0,1580961679000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.1.13,1581390775000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.3.0,1582506651000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.1.1,1581309997000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.3.10,1582602813000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.3.11,1582609122000
io.github.mmihira:qualtrix-sdk,io.projectreactor.netty:reactor-netty,0.1.12,1581313278000
org.jetlinks:jetlinks-supports,io.projectreactor.netty:reactor-netty,1.2.2,1724050567846
org.apache.james:james-server-protocols-imap4,io.projectreactor.netty:reactor-netty,3.7.2,1665116161000
org.apache.james:james-server-protocols-imap4,io.projectreactor.netty:reactor-netty,3.7.3,1672390073000
org.apache.james:james-server-protocols-imap4,io.projectreactor.netty:reactor-netty,3.7.1,1661507618000
org.apache.james:james-server-protocols-imap4,io.projectreactor.netty:reactor-netty,3.7.5,1707725211000
org.apache.james:james-server-protocols-imap4,io.projectreactor.netty:reactor-netty,3.7.4,1679568919000
io.wcm.caravan:io.wcm.caravan.rhyme.spring,io.projectreactor.netty:reactor-netty,1.0.0,1642006765000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.1.6.RELEASE,1574091956000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.3.RELEASE,1590695898000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.7.RELEASE,1613054196000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.6.RELEASE,1604919710000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.2.RELEASE,1583341092000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.1.RELEASE,1576849643000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.8.RELEASE,1619026880000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.5.RELEASE,1598646103000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.1.7.RELEASE,1580508922000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.0.RELEASE,1574764489000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.2.4.RELEASE,1596230747000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.1.5.RELEASE,1572521774000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.1.4.RELEASE,1569587886000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.1.0.RELEASE,1548183094000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.1.2.RELEASE,1561065954000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.1.1.RELEASE,1551816174000
org.springframework.cloud:spring-cloud-sleuth-core,io.projectreactor.netty:reactor-netty,2.1.3.RELEASE,1568074344000
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,6.8.1,1708584411245
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,7.1.0,1728298474708
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,6.6.0,1602514500000
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,6.8.0,1671732460000
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,7.0.1,1705493197026
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,6.7.0,1630336635000
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,6.7.2,1640700735000
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,7.0.0.M2,1692365174000
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,7.0.0.M1,1671806499000
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,7.0.0,1695281772304
org.flowable:flowable-http-common,io.projectreactor.netty:reactor-netty,6.7.1,1636715382000
com.codeabbot.springframework.data.aerospike:spring-data-reactive-aerospike,io.projectreactor.netty:reactor-netty,0.0.7,1552160466000
com.codeabbot.springframework.data.aerospike:spring-data-reactive-aerospike,io.projectreactor.netty:reactor-netty,0.0.6,1552059701000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,4.1.0,1602600587000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,4.0.0,1601449782000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,3.0.0,1575105652000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,2.1.1,1560253027000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,3.0.1,1579679210000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,2.1.3,1565945367000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,2.1.0,1556876543000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,2.0.0,1556198838000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,1.1.0,1551719382000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,1.1.1,1552503263000
io.opentracing.contrib:opentracing-spring-web,io.projectreactor.netty:reactor-netty,1.1.2,1555069115000
com.github.ljtfreitas:java-restify-spring-autoconfigure,io.projectreactor.netty:reactor-netty,2.1.0,1559529510000
com.jauntsdn.rsocket:rsocket-transport-netty,io.projectreactor.netty:reactor-netty,0.9.4,1586446289000
com.jauntsdn.rsocket:rsocket-transport-netty,io.projectreactor.netty:reactor-netty,0.9.6,1590000293000
com.jauntsdn.rsocket:rsocket-transport-netty,io.projectreactor.netty:reactor-netty,0.9.1,1584482847000
com.jauntsdn.rsocket:rsocket-transport-netty,io.projectreactor.netty:reactor-netty,0.9.7,1591973908000
com.jauntsdn.rsocket:rsocket-transport-netty,io.projectreactor.netty:reactor-netty,0.9.5,1588271018000
com.jauntsdn.rsocket:rsocket-transport-netty,io.projectreactor.netty:reactor-netty,0.9.3,1586173694000
com.jauntsdn.rsocket:rsocket-transport-netty,io.projectreactor.netty:reactor-netty,0.9.2,1586021831000
com.jauntsdn.rsocket:rsocket-transport-netty,io.projectreactor.netty:reactor-netty,0.9.8,1595604625000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,4.1.2,1717081400000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,4.0.1,1680036823000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.1.2,1677209950000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.1.4,1702950506000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,4.1.3,1720642963000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,4.1.0,1701890522000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,4.0.2,1706289087000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,4.1.1,1711560789000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.1.1,1653617154000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.0.5,1639598913000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.1.3,1682616671000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,4.0.0,1671211468000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.0.2,1616022850000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.0.3,1622193001000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.1.0,1638398906000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.0.4,1632271357000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,2.2.7.RELEASE,1613056615000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.0.0,1608630857000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,3.0.1,1611786299000
org.springframework.cloud:spring-cloud-vault-config,io.projectreactor.netty:reactor-netty,2.2.6.RELEASE,1604922751000
com.vlkan:reactor-pubsub,io.projectreactor.netty:reactor-netty,0.2.1,1583842010000
com.vlkan:reactor-pubsub,io.projectreactor.netty:reactor-netty,0.1.0,1570020049000
com.vlkan:reactor-pubsub,io.projectreactor.netty:reactor-netty,0.2.2,1613573299000
com.vlkan:reactor-pubsub,io.projectreactor.netty:reactor-netty,0.1.1,1573551127000
com.vlkan:reactor-pubsub,io.projectreactor.netty:reactor-netty,0.2.0,1579166495000
com.vlkan:reactor-pubsub,io.projectreactor.netty:reactor-netty,0.1.2,1573818306000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.13.0,1702655056553
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.12.1,1692629291000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.8.3,1644232215000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.9.1,1653574698000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.11.0,1662542151000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.8.4,1645173346000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.10.0,1661523503000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.9.0,1650022440000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.9.2,1655058532000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.8.2,1640100647000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.11.1,1678018696000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.12.0,1689534118000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.8.1,1637758681000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.8.0,1627070572000
ru.sokomishalov.skraper:skrapers,io.projectreactor.netty:reactor-netty,0.7.0,1614619792000
io.opns.otl:otl-integ,io.projectreactor.netty:reactor-netty,0.2.16-alpha,1586461982000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.1.0,1613144330000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.2.1,1620202053000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.2.3,1630622396000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.0.0,1608558405000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.1.2,1616236184000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.0.0-beta.2,1608296510000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.2.0,1619865631000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.2.2,1621244425000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.1.3,1618402681000
com.expediagroup.molten:molten-http-client,io.projectreactor.netty:reactor-netty,1.1.1,1613671254000
io.xiaper:xiaper-spring-boot-router-rabbitmq,io.projectreactor.netty:reactor-netty,2.1.6.RELEASE,1558002812000
io.xiaper:xiaper-spring-boot-router-rabbitmq,io.projectreactor.netty:reactor-netty,2.1.4.RELEASE,1551962328000
io.xiaper:xiaper-spring-boot-router-rabbitmq,io.projectreactor.netty:reactor-netty,2.1.5.RELEASE,1555330414000
com.github.ljtfreitas:java-restify-spring-reactive,io.projectreactor.netty:reactor-netty,2.1.0,1559529229000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.8.1,1729421687000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.0.6,1722955216000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.8.0,1725979360000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,3.21.5,1718306937000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.4.4,1729076891000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.6.0,1714938788000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,3.22.2,1714419904000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.4.2,1713696775000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.0.5,1713784507000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.5.0,1711205788000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.4.3,1719132076000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.7.0,1720523098000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,3.22.0,1703000953000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,3.21.3,1702135029000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.4.0,1707742074000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,3.22.1,1706212191000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.0.4,1706375227000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,3.21.4,1706115843000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.3.0,1702320407000
org.apache.camel:camel-stitch,io.projectreactor.netty:reactor-netty,4.4.1,1710012476000
org.bremersee:common-xml-spring-webflux,io.projectreactor.netty:reactor-netty,3.0.1,1719857044562
org.bremersee:common-xml-spring-webflux,io.projectreactor.netty:reactor-netty,3.1.0,1720984408521
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,4.2.0,1725464969605
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,4.1.0,1725435096036
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.2.6,1662490983000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,4.0.3,1699992397188
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.2.10,1681490170000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,4.2.1,1725467040780
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,4.0.0,1682437945000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,4.1.2,1725439800960
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.3.0,1681552573000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,4.1.1,1725437811334
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.2.11,1681549718000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,4.0.2,1698958865430
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.2.5,1660247217000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.2.3,1655394484000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.2.4,1659716720000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.1.7,1646926148000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.1.6,1646213179000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.1.8,1646988861000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.2.0,1647010372000
com.playtika.reactivefeign:feign-reactor-spring-configuration-cloud2-test,io.projectreactor.netty:reactor-netty,3.2.1,1648550345000
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.1.7,1726211304970
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,2.2.15,1730709442234
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.0.6,1717561221402
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,2.2.12,1720923069061
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,2.2.14,1726209201789
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.1.6,1723436587248
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.0.7,1720923118139
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.1.8,1731039853763
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,2.2.13,1723435827737
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.1.4,1717561333464
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.1.5,1720923164515
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,2.2.11,1716798804748
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.1.3,1714982668761
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,2.2.9,1712489133268
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.0.4,1712489887706
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.0.5,1714982571971
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.0.3,1710749314999
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.1.2,1712489807417
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,2.2.10,1714481616969
com.alipay.sofa:sofa-ark-springboot-starter,io.projectreactor.netty:reactor-netty,3.1.1,1710750952670
io.scalecube:rsocket-services-transport,io.projectreactor.netty:reactor-netty,2.2.0,1540392605000
io.scalecube:rsocket-services-transport,io.projectreactor.netty:reactor-netty,2.1.43,1540295742000
io.scalecube:rsocket-services-transport,io.projectreactor.netty:reactor-netty,2.2.3,1540769387000
io.scalecube:rsocket-services-transport,io.projectreactor.netty:reactor-netty,2.2.4,1540806137000
io.scalecube:rsocket-services-transport,io.projectreactor.netty:reactor-netty,2.1.41,1539705696000
io.scalecube:rsocket-services-transport,io.projectreactor.netty:reactor-netty,2.2.1,1540546031000
io.scalecube:rsocket-services-transport,io.projectreactor.netty:reactor-netty,2.2.2,1540580954000
io.scalecube:rsocket-services-transport,io.projectreactor.netty:reactor-netty,2.2.5,1541254184000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.9,1625073077000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.10,1625145835000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.12,1628090935000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.13,1632673251000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.2.1,1648650850000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.6,1624301126000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.2.2,1648662861000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.7,1624472226000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.8,1624556874000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.11,1626634578000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.5,1624286188000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.2.0,1637780966000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.4,1623995025000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.3,1623932282000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.0.42,1621941176000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.0.41,1618130790000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.2,1623854437000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.1,1623693896000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.1.0,1623007576000
io.github.fomin.oas-gen:oas-gen-java-reactor-netty-runtime,io.projectreactor.netty:reactor-netty,0.0.43,1622359042000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,3.1.1,1721896905000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,3.2.0,1721897977000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,3.3.0,1721899516000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,2.2.0,1638570426000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,3.1.0,1696950246000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,2.1.1.RELEASE,1591116908000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,2.3.2,1721816932000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,2.1.0.RELEASE,1585698884000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,2.2.1,1710332797000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,3.0.2,1721817913000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,3.0.0,1675375798000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,2.3.0,1668546710000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,2.0.0.RELEASE,1547070083000
org.springframework.credhub:spring-credhub-core,io.projectreactor.netty:reactor-netty,2.0.1.RELEASE,1552929774000
